,german,italian,chineese,spanish,french
433,Neurosyphilis: How can someone have neurosyphilis while their partner does not get syphilis<PAD><PAD>,,Neurosyphilis How can one person have neurosyphilis and his partner not have syphilis?,,neurosyphilis how can a person have neurosyphilis and their partner not have syphilis<PAD><PAD>
434,"If hydrochlorothiazide is taken at the same time as other medicines, can it decrease the effectiveness of other medicines, such as Tegretol or Lamictal?","When taking hydrochlorothiazide with other drugs it may decrease the potency of the other drugs, for example tegretol or lamictal",,"When taking hydrochlorothiazide at the same time as other medications, can the potency of other medications, i.e. tegretol or lamictal, be decreased?","when hydrochlorothiazide is taken at the same time as other medications, can it decrease the potency of the other medications, i.e. tegretol or lamictal"
435,these spells cause mental or physical damage<PAD><PAD><PAD><PAD><PAD><PAD><PAD>,mental or physical damage occurs from these spells<PAD><PAD><PAD><PAD><PAD><PAD><PAD>,Do these spells cause mental or physical harm? <PAD><PAD><PAD><PAD><PAD><PAD><PAD>,,Do these spells cause mental or physical damage?<PAD><PAD><PAD><PAD><PAD><PAD><PAD>
436,"Hello, I can't find any information about antennal corticoid therapy for lung maturation in diabetics after 34 weeks of pregnancy. Can you help me?",hi i cant find any information about antennal corticosteroid therapy for lung maturation in diabetics after 34 weeks of pregnancy can you help me?,"Hi, I can’t find any information about antennal corticosteroids for lung maturation in diabetic patients after 34 weeks of gestation, can you help me?","Hi, I can't find any information on antenatal corticosteroid therapy for lung maturation in diabetics after 34 weeks of pregnancy, can you help me?","Hello, I can't find any information about antennal corticosteroid therapy for lung maturation in diabetics after 34 weeks of pregnancy. Can you help me?"
439,"my father was given coal oil when he was young when he was sick with a cold or flu. My family and I are just wondering if there could have been permanent damage to his stomach, heart or other internal organs. I am not asking for a second opinion, I just want some information on this matter for our own investigation.","My father was given coal oil when he was a child when he had a cold or flu, my family and I wonder if he may have suffered permanent damage to his stomach, heart or other internal organs. I am not asking for a second opinion, I just want some information on this matter for our investigation.",,,"My father, at an early age, was given coal oil when he was sick with a cold or flu. My family and I are just wondering if there could have been permanent damage to his stomach, heart or any other internal organs. I am not asking for a second opinion, I just want information on this matter for our own investigations."
442,Search for articles How can I search for the association between gene mutation and congestive heart failure?,search articles how can i search for association between gene mutation and congestive heart failure,Search Articles How to search for associations between gene mutations and congestive heart failure,Searching for articles How can I search for the association between genetic mutation and congestive heart failure?,article search how can i search for the association between genetic mutation and congestive heart failure
443,"Prosthetic Foot Which prosthetic foot is better for a lower amplifier, the Echelon or Kinttera foot?",prosthetic foot which prosthetic foot is best for a lower amplifier the echelon foot or kinttera,Prosthetic feet Which prosthetic foot is better for low ampere echelons or Kintra feet,,
448,I am looking for resources on how to deal with my husband who has vascular dementia and unsteady gait. The main problem is that he refuses to get out of bed to eat or do activities of daily living. It takes him hours every day to do these essential basic activities of living. His doctors are aware but are not very helpful. Any ideas or resources other than SNF are appreciated.,"I am looking for resources on how to manage my husband who has vascular dementia and an unsteady gait. The main problem is that he refuses to get out of bed to eat or do daily activities. It takes hours a day to do these basic essentials. His doctors are aware of this, but are not very helpful. Any ideas or resources other than SNF would be appreciated.","I am looking for resources on how to live with my husband who has vascular dementia and unsteady gait, the main issue is he refuses to get out of bed to eat or do activities of daily living, it takes him hours a day to do these basic activities of life, his doctor knows this but is not much help, any ideas or resources would be greatly appreciated besides snf",I am looking for resources on how to deal with my husband who has vascular dementia and unsteady gait. The main problem is that he refuses to get out of bed for meals or activities of daily living. It takes him hours every day to perform these basic essential activities of living. His doctors are aware of this but are not much help. Any ideas or resources other than SNF would be appreciated.,I am looking for resources on how to manage my husband who has vascular dementia and an unsteady gait. The main problem is that he refuses to get out of bed for meals or activities of daily living. It takes him hours each day to perform these essential activities of daily living. His doctors are aware but not very helpful. Any ideas or resources other than SNF would be appreciated.
449,"my newborn is 9 weeks old and I noticed when I wanted to clean in her vagina there was a little spotting, should I be worried","My newborn is 9 weeks old and I noticed that when I went to clean her vagina there was a little spotting, should I be worried?",,My newborn is 9 weeks old and I noticed that when I went to clean the inside of her vagina there was a little bleeding. Should I be worried?,
450,"I discovered that I have an STI virus on my penis called warts, so I need help",I noticed that I have a STD virus on my penis called human warts virus so I need help,I noticed that I have an STI virus called wart human virus on my penis so I need help,"I have noticed that I have an STD virus on my penis called human wart virus, so I need help.",
451,"Questions about the effect of Lleucine Hello, do you have an introduction to the effect of Lleucine on cancer treatment? Could you please give me details?",questions about the effect of lleucine hello do you have any introduction about lleucine on the effects of cancer treatment if yes could you kindly give me the details,,"Questions about the effect of Lleucine Hellodo If you have any introduction about leucine on the effect of treating Cancerif, could you please tell me the details?",
452,"Doctor I'm looking for a doctor who specializes in treating leg cramps in the elderly, specifically one who may offer treatment for poor circulation in the legs. What medical specialty is this called?","doctor I am looking for a type of doctor who specializes in treating leg cramps in the elderly, specifically one who provides treatments for circulation problems in the legs, what is this medical specialty called?","Doctor, I am looking for a doctor who specializes in treating leg cramps in the elderly. Specifically, maybe a doctor who treats circulation problems in the legs. What is this medical specialty called?","Doctor I am looking for a type of doctor who specializes in treating leg cramps in the elderly, specifically, possibly one who provides treatment for leg circulation problems, what medical specialty is that you called?","doctor I am looking for a type of doctor who specializes in treating leg cramps in older people, especially possibly a doctor who offers treatment for circulation problems in the legs. What medical specialty is it called?"
453,"i am addicted to opiates and have been taking suboxone for a few years. i also take anti anxiety meds and an anti seizure med. lately my life is spiraling out of control and i am so scared i can't find the right doctor and i need someone to talk to that will not just give me meds, i need help and if i don't get help soon i am scared for myself. i have no intention of hurting or injuring myself but i am a wreck. i need a doctor that can help me with both. i am talking about meds. i just want to walk away and move far away. what would you recommend, what type of doctor should i look for?",I am addicted to opiates and have been on suboxone for a few years now I also take anxiety meds and an anticonvulsant drug lately my life has spiraled out of control and I am so scared I can't find the right doctor and I need someone to talk to not just give me meds I need help and if I don't get help soon I am scared for myself I don't mean to hurt myself or harm myself but I am a mess I need a doctor that can help me both ways talk about meds I just want to get away move far away what would you suggest what type of doctor I should look for,"I am addicted to opiates and have been taking buprenorphine for a few years now and I have recently been put on anti anxiety meds and anti epilepsy meds, my life has spiraled out of control and I am terrified and I can’t seem to find the right doctor, I need someone to talk to and not just give me meds, I need help and if I don’t get help soon I am terrified for myself, I have no intention of hurting myself but I am a mess, I need a doctor who can help me in both areas, talk about meds, I just want to get away and move far away, what type of doctor do you suggest I should look for","I have been addicted to opiates and have been on suboxone for a few years. I am also on anxiety medication and an anti-seizure medication lately. My life has been spiraling out of control and I am so scared I can't seem to find the right doctor and I need someone to talk to, not just give me medication. I need help and if I don't get help soon I am scared for myself. I have no intentions of hurting or harming myself but I am a mess. I need a doctor that can help me both ways. Speaking of medication I just want to leave, move far away. What kind of doctor would you suggest I look for?","I am addicted to opiates and have been taking suboxone for a few years now. I have also been taking anti-anxiety medication and a seizure medication lately. My life has spiraled out of control and I am so scared that I can't find the right doctor and I need someone to talk to, not just give me medication. I need help and if I don't get help soon I am scared for myself. I have no intention of harming myself or myself but I am in a daze. I need a doctor that can help me in both ways. I just want to leave, get away. What would you suggest? What type of doctor should I look for?"
455,"I have very large breasts, I am only 25 and they cause me a lot of pain in my neck, chest and back, what can I do","I have very large breasts, I am only 25 years old and it causes me a lot of pain in my neck, chest and back, what can I do?","I have very large breasts, I am only 25 and they are causing me a lot of pain in my neck, chest and back, what should I do","I have very huge breasts, I am only 25 years old and they cause me a lot of pain in my chest, neck and back, what can I do?","I have very huge breasts, I am only 25 years old and they cause me a lot of pain in my neck, chest and back, what can I do?"
457,Does tolnaftate help with nail fungus?<PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD>,tolnaftate helps with toenail fungus<PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD>,,Does tolnaftate help with toenail fungus?,Does Tolnaftate Help With Toenail Fungus?<PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD>
459,"are there any studies looking at familial long-term fragile X syndrome or other related disorders? We are 4 generations of a family with similar features in the males, in each of these generations there is only 1 male. My father is 92 and still as healthy and hearty as ever but has always suffered from functional impairments and the youngest is 212 and has very significant developmental delays. My son, his 30 year old father, was diagnosed with ADHD and central auditory processing disorder as a child but I am now certain he has fragile X facial features, low IQ, no math skills, etc. In my generation there is a male",Are there any studies looking at Fragile X syndrome familial-longitudinal or other related disorders? We are 4 generations of a family with similar traits in males in each of these generations only 1 male in each my father is 92 years old still healthy and alert as ever but has always suffered from functional disabilities and the youngest is 2 years old and 12 years old with very significant developmental delays my son his 30 year old father was diagnosed with attention deficit and central auditory processing disorder as a child on the spot but now I am sure he has Fragile X syndrome facial features low IQ inability to calculate etc. in my generation there is a male,"Has anyone researched familial long term fragile x or other related disorders, we are 4 generations of a family and the males in each generation have similar features, only 1 male in each generation, my father is 92 and still healthy and sharp but has always had functional impairments, the youngest child is 2 12 years old and has very severe developmental delays, my son, his father is 30, was diagnosed with attention deficit disorder and central auditory processing disorder as a child but now I am sure he has fragile x facial features, low IQ, poor math skills etc, in our generation, only one male","Are there any studies looking at long standing fragile X syndrome or other related disorders? We are 4 generations of one family with similar traits in the males in each of those generations, only 1 male in each. My father is 92, still healthy and sharp as ever, but has always suffered from functional disabilities and the youngest is 2 and 12 with very significant developmental delays. My son, his father, 30, was diagnosed with ADD and central auditory processing disorder as a child on the spot, but I am now certain that he has fragile X syndrome, facial features, low IQ, inability to do math, etc. There is one male in my generation.","are there any studies looking at familial and long term fragile x syndrome or other related disorders? We are 4 generations of a family with similar traits in the males in each generation, only one male in each. My father is 92, still healthy, lively as ever, but has always suffered from functional disabilities and the youngest is 2 and 12 with very significant developmental delays. My son, his father is 30, was diagnosed with ADD and central auditory processing disorder as a child, but I am now sure he has fragile x facial features, low IQ, math disability, etc. In my generation there is one male"
461,My father is 70 years old. His arteries in both limbs are blocked. He has a pacemaker. Doctors are advising amputation but the risk is very high. Please suggest treatment without amputation. His foot is turning black and blisters are forming on his limbs. Please advise.,"my father is 70 years old, his arteries in both limbs are blocked, he has a pacemaker, doctors suggest to proceed with amputation, but the risk is high, please suggest treatment without amputation, his foot is turning black and blisters are forming on his limbs, please advise me","My father is 70 years old and has blocked arteries in both his limbs. He has a pacemaker installed. Doctors recommend amputation, but it is very risky. Please suggest a treatment without amputation. His feet are turning black and blisters are forming on his limbs. Please give me some advice.",My father is 70 years old. His arteries in both limbs have blockage which is having a rate that doctors suggest to go for amputation but there is high risk please suggest treatment without amputation. advice,"my father is 70 years old, his arteries in both limbs are clogged, he has a pacemaker, doctors suggest amputation but the risk is high, please suggest treatment without amputation, his foot is turning black and blisters are forming on his limbs, please advise"
463,"I have a mesh that repaired a hernia in my lower abdomen, now I need a CT scan. Can you see through the mesh on the CT scan?","I have a mesh that repaired a hernia in my lower abdomen, now I need a CT scan, will the CT scan see through the mesh?","I had a mesh repair for my lower abdominal hernia and now I need a CT scan, can a CT scan see through the mesh?",,"I have a mesh that repaired a hernia on my lower abdomen, now I need a scan. Will the scan see through the mesh?"
464,does anyone have any info on pain relief for hirayama's disease my brother has had this disease for 10 years and when the nerve endings die he is in excruciating pain and gets no pain relief except morphine which doesn't help with the nerve pain i appreciate his doctor is doing her best with a disease she knows little about but can anyone please help or give advice or any info on pain relief for this disease he is already on the highest dose of pregabalin but when he is poorly nothing helps with the pain please any help or even anyone with any suggestions,Does anyone have any information on how to relieve pain from Hirayama's disease? My brother has had this disease for 10 years and when the nerve endings die he has excruciating pain and he is not given any painkillers other than morphine which does not help the nerve pain. I appreciate that his consultant is doing his best with a disease he knows little about but can anyone help him or give advice or information on how to relieve pain from this disease? He is already on the highest dose of pregabalin but when he is sick nothing helps with the pain. Can anyone please help him or even suggest?,"Does anyone have any information on pain relief for Hirayama disease, my brother has had it for 10 years and when the nerve endings die he has severe pain and has no other pain relief other than morphine which doesn't help with the nerve pain, I appreciate his consultant is doing her best with this disease which she knows very little about but can anyone help or give advice or any information on pain relief for this disease? He has been on the highest dose of pregabalin but nothing can help the pain when he is seriously ill, please any help or anyone with any advice",Does anyone have any information on pain relief for Hirayama disease? My brother has had this disease for 10 years and when the nerve endings are dying he is in excruciating pain and he is not given any painkillers for this apart from morphine which does not help with the nerve pain. I appreciate that his doctor is doing his best with a disease he knows little about but can anyone help or give advice or any information on pain relief for this disease? He is already on the highest dose of pregabalin but when he is under the weather nothing helps for the pain. Please any help or even anyone with any suggestions.,Does anyone have any information on pain relief for Hirayama's disease? My brother has had this condition for 10 years and when the nerve endings die he is in excruciating pain and is not given any painkillers except morphine which does not help with the nerve pain. I appreciate that his consultant is doing her best with a condition she knows little about but can anyone help or give him any advice or information on pain relief for this condition? He is already on the highest dose of pregabalin but when he is feeling down nothing helps. Please help me or even anyone with a suggestion.
465,I was prescribed this medication for rhinitis I took it as directed when it ran out I stopped taking it that was only 7 days ago now I have a bad upper respiratory infection could stopping the fluticasone possibly have caused this how long should you take fluticasone,"I was prescribed this medication for rhinitis, I used it as directed when it ran out, I only stopped 7 days ago, now I have a terrible upper respiratory infection, could it have been stopping the fluticasone that caused it, how long is a person supposed to take fluticasone?","I was prescribed this medication for rhinitis and I took it as directed and when it ran out I stopped taking it, that was 7 days ago and now I have a severe upper respiratory infection, could stopping fluticasone have caused this and how long should I take fluticasone","I was prescribed this medication for rhinitis, I used it as directed, when it ran out I stopped, that was only 7 days ago, now I have a terrible upper respiratory infection. Could stopping fluticasone have caused this? How long is a person supposed to take fluticasone?","I was prescribed this medication for rhinitis, I used it as directed when it ran out, I stopped only 7 days ago. I now have a terrible upper respiratory infection. Could stopping the fluticasone have caused this? How long is a person supposed to take fluticasone?"
467,"a little further down hello, I don't seem to know who to contact so it's worth giving this message a chance. My son was diagnosed with Wang syndrome earlier this year. I know there is very little research on this syndrome but I would really like to get as much information as possible or find out if there are any other children alive with this case. I was wondering if you have any contacts I could contact, eg your article on the internet for upd14. Thanks for your time. I hope to hear from you. Name",something else below hi i dont know who to contact so its worth trying to send this my son was diagnosed with wang syndrome earlier this year i know there is so little research on this syndrome but i would really like to get as much information as possible or find out if other children with this case are alive i was wondering if you have any contacts i could contact for example your article on the web for update 14 thanks for your time hope to hear from you name,"Here is the rest Hi, I can’t seem to figure out who to contact so it might be worth a try to send this message, my son was diagnosed with Wang syndrome earlier this year, I know there is very limited research on this syndrome but I would really like to get as much information as possible or see if there are other children alive with this case, I was wondering if you have a contact I could contact, such as the article you wrote online for upd14, thank you for your time and hope to hear from you",,something else below hello i don't seem to know who to contact so trying this post is worth a try my son was diagnosed with wang syndrome earlier this year i know there is very little research on this syndrome but i would really like to get as much information as possible or know if there are any other children with this condition alive i was wondering if you had any contacts i could contact for example your web article for upd14 thanks for your time i hope to hear from you name
469,can a doctor answer my little question i am looking forward to your kind reply i just want to know about milking i am 24 years old and a virgin and when i press my nipples some kind of white liquid comes out of my nipples i live in a remote area should i go to a doctor or is it normal to milk when pressing nipples i have never taken any serious medication so why am i milking or is it a hormonal disorder if yes why do i really need your answer or advice on this is it a life threatening symptom i am really scared looking forward to hearing from you many thanks for reading,"can a doctor answer my little question? I am eagerly waiting for your kind reply. I just want to know about milking. I am 24 years old, a virgin and when I press my nipples some kind of white liquid comes out from my nipples. I live in a remote area. Should I consult a doctor or is it normal to milk while pressing nipples? I have never taken any serious medication before so why am I milking or is it a hormonal disorder? If yes why do I really need your answer or advice on this, is it a life threatening symptom? I am really scared. Can't wait to hear from you. Thank you so much for reading.","Can the doctor answer my question? Looking forward to your reply. I just want to know something about expressing milk. I am 24 years old and still a virgin. When I press my nipples, some white liquid comes out of my nipples. I live in a remote area. Should I go to the doctor? Is it normal to express milk when the nipples are pressed? I have never taken any serious medication before, so why should I express milk? Or is this a hormonal imbalance? If so, why do I really need your answer or advice? Is this a life-threatening symptom? I am really scared and looking forward to your reply. Thank you very much for reading",Can a doctor please answer my little question looking forward to your kind reply I just want to know something about milking I am a 24 years old virgin and when I press my nipples some kind of white liquid comes out from my nipples I live in a remote area should I see a doctor or is it normal to milk while pressing nipples I have never taken any serious medication before so why am I milking myself or is it a hormonal disorder if so why do I really need your answer or advice on this is a life threatening symptom I am really looking forward to having a lot of milk thank you so much for reading,
470,my stepson had DMD and died at age 20. My stepdaughters are both carriers. The eldest had a healthy son. The youngest daughter had a son with DMD this month at age 17. My question is about my other stepsons' daughters. Is it possible that our granddaughters are carriers and do they need to be tested? We are concerned about this.,,"My stepson had DMD and died at 20, my stepdaughters are all carriers, my oldest daughter has a healthy son, my youngest daughter turned 17 this month and had a son with DMD, my question is if my other stepchildren’s daughters could be our granddaughters and do they need to be tested, we are concerned about this",My stepson had DMD and passed away at the age of 20. My stepdaughters are carriers. The oldest had a healthy son. The youngest daughter had a son with DMD this month at the age of 17. My question is about my other stepchildren's daughters. Is it possible that our granddaughters are carriers? Do they need to be tested? We are concerned about this.,my stepson had DMD and passed away at the age of 20. my stepdaughters are both carriers. the oldest had a healthy son. the youngest daughter had a son with DMD this month at the age of 17. my question is regarding my other stepson's daughters. is it possible that our granddaughters are carriers and should they be tested? we are concerned about this
471,are there any treatment options<PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD>,Is there any treatment available?<PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD>,Is there any treatment? <PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD>,Is there any treatment available?<PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD>,Are there any treatments available?<PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD><PAD>
472,"Sepsis, can sepsis be prevented, can someone get it in the hospital<PAD><PAD><PAD><PAD><PAD>",sepsis sepsis can be prevented someone can get it from a hospital<PAD><PAD><PAD><PAD><PAD>,,Can sepsis be prevented? Can someone get it in a hospital?<PAD><PAD><PAD><PAD><PAD>,can sepsis be prevented? can someone get it in the hospital?<PAD><PAD><PAD><PAD><PAD>
473,"need information about thalassemia medical center in Asia. Hello dear madam, my son has thalassemia and I am looking for treatment for him. Can you tell me where I can take my son for treatment. I am in Afghanistan and there is no hospital for his treatment. Please tell me where I can take my son for treatment.",i need information about thalassemia medical center in aisa hi dear sirmadam my son has thalassemia and i am looking for a cure for him i need you to tell me where i can take my son for the cure actually i am in afghanistan and there is no hospital for his cure so please guide me,"Need information about medical centers for thalassemia in Asia, hello dear sirmadam, my son is suffering from thalassemia and i have been searching for a cure, i need you to guide me where can i take my son for treatment, actually i am in Afghanistan and there is no hospital there to treat him, so please guide me",,
474,"my brother died young from Louis-Bar syndrome. After six pregnancies, four children did not survive the pregnancy or died very young. I would like to know if it is possible for other children like me to have the symptoms of the syndrome to a lesser or greater extent. So is there a continuum?","my brother died young because of Louis Bar syndrome, of six pregnancies, four children did not survive the pregnancy or died very young. I would like to know if it is possible that other children like me can have the symptoms of the syndrome to a lesser or greater extent. Is there a continuum?",,"My brother died young from Louis Bar syndrome out of six pregnancies, four children did not survive the pregnancy or died very young. I would like to know if it is possible that other children like me may have the symptoms of the syndrome to a lesser or greater degree. Is there a continuum?","my brother died young from Louis Bar syndrome after six pregnancies, four children did not survive the pregnancy or died very young. I would like to know if it is possible that other children like me can have the symptoms of the syndrome to a greater or lesser degree. Is there a continuum?"
477,"hello, I am writing from Mauritius and my name is Name. A member of my family has swallowed a poison called caustic soda. He is currently in hospital and suffering a lot. Is there any suggestion to help him get better or ease his pain?","Hi, I am writing from Mauritius and my name is Name, a member of my family has ingested a poison called caustic soda. He is actually in hospital and suffering a lot. Is there any suggestion to help him feel better or to relieve his pain?","Hi, I am Mauritian, my name is, a family member of mine swallowed a poison which is caustic soda, he is now in hospital and in great pain, any suggestions to help him get better or relieve his pain","Hello, I am writing to you from Mauritius and my name is Name. A member of my family swallowed a poison called caustic soda. Currently, he is in the hospital in great pain. Is there any suggestion to help him improve or ease his pain?","hello, i am writing from Mauritius and my name is name, a member of my family swallowed a poison called caustic soda, he is currently in hospital and in a lot of pain. is there any suggestion please to help him get better or to ease his pain"
478,"my husband and I had scabies. I used it on my vaginal area. I don't know how to treat the reaction I'm having. I think I burned the sensitive tissue in that area. What can I do to treat the reaction? Please help me, any suggestions","my husband and i had scabies, i used it on my vaginal area, i dont know how to cure the reaction i have, i think i burned the delicate tissue in that area, what can i do to cure the reaction, please help me, do you have any suggestions?","My husband and I both have scabies and I use it to treat the vaginal area and I don’t know how to treat the reaction I’m having, I think I’ve burned the delicate tissue in that area, what can I do to treat this reaction, please help with any suggestions","My husband and I both had Scabie. I used it on my vaginal area. I don't know how to treat the reaction I'm having, I think I've burned the delicate tissue in that area, what can I do to treat the reaction? Please help with any suggestions.","my husband and I had scabies, i used it in my vaginal area, i don't know how to treat the reaction i have, i think i burned the delicate tissues in that area, what can i do to treat the reaction, please help, do you have any suggestions?"
479,"Anemia in children. My daughter is 6 years old. She has been suffering from microcytic anemia for three years. She had a blood transfusion in 2009, but now her hemoglobin level is 45. The doctors cannot find out the cause of her anemia. We are very worried about her. Please, can you help us with this?",anemia in children my daughter is 6 years old she is suffering from microcytic anemia since three years in 2009 she received a blood transfusion but now her hemoglobin count is 45 doctors could not find out the cause of her anemia we are very worried about her please if you can guide us regarding this,Anemia in children My daughter is 6 years old and has been suffering from microcytic anemia for the past three years. She was treated with blood transfusion in 2009 but now her hemoglobin count is 45. The doctors cannot find out the cause of her anemia. We are very worried about her and please guide us,"Anemia in children, my daughter is 6 years old, she is suffering from microcytic anemia for the last three years in 2009, she has been transfused for blood but now her HB count is 45 Doctors are unable to find out the cause of her anemia we are very worried please guide us as to",anemia in children my daughter is 6 years old she has been suffering from microcytic anemia for three years in 2009 she received a blood transfusion but now her hemoglobin level is 45 doctors are unable to find out the cause of her anemia we are very worried about her if you can guide us on this
480,I am a 79 year old man who is taking Eligard shots for prostate cancer. I have hot flashes from these shots. Is it possible that Brisdelle would help me?,I am a 79 year old male taking eligard injections for prostate cancer and I am having hot flashes from these injections. Is it possible that brisdelle can help me?,"I am a 79 year old male who is receiving Eligard injections for prostate cancer and I have experienced hot flashes after the injections, is it possible that Brisdelle could help me?",I am a 79-year-old man taking Eligard injections for prostate cancer. I have hot flashes from these injections. Is it possible that Brisdelle will help me?,I am a 79 year old male taking Eligard injections for prostate cancer. I have been getting hot flashes from these injections. Is there any way Brisdelle can help me?
481,"hello my name is name, I have NF1 and the benign tumors in my back and neck, I have also been having health problems and was wondering about a certain thing, I had to undergo a complete hysterectomy about 5 years ago because of endometriosis and big cysts, now about 3 weeks ago I had to undergo an emergency surgery because my colon and colon were very knotted and twisted due to scar tissue, I also had endometriosis and even more big cysts, so I hope you could tell me now if all this could be caused by the NF, thank you very much for your time",hi my name is name i have NF1 and i have benign tumors on my back and neck i have also had health problems and was wondering one specific thing i had to have a full hysterectomy due to endometriosis and large cysts about 5 years ago about 3 weeks ago i had to have emergency surgery because my bowel and colon were badly tangled and twisted due to scar tissue i also had endometriosis on them plus large cysts so now i was hoping you could tell me if this could all be caused by NF thank you very much for your time,"Hi my name is name and I have NF1 and benign tumors in my back and neck and I have also had issues with my health and I wanted to ask a specific question, about 5 years ago I had to have a total hysterectomy due to endometriosis and large cysts and now about 3 weeks ago I had to have emergency surgery because my intestines and colon were badly tangled and twisted from scar tissue, I also have endometriosis and more large cysts so now I was hoping you could tell me if these are all caused by NF, thank you so much for your time","Hi, my name is name, I have NF1 and I have benign tumors on my back and neck. I have also had health issues and I was wondering about one specific thing. I had to have a full hysterectomy due to endometriosis and large cysts about 5 years ago. About 3 weeks ago I had to have emergency surgery because my intestines and colon were so tangled and twisted due to scar tissue. I also had endometriosis on them and more large cysts so now I was hoping you could tell me if all of that could be caused by NF. Thank you so much for your time.","Hi, my name is Nom, I have NF1 and benign tumors in my back and neck. I have also had some health issues and was wondering about one thing in particular. I had to have a complete hysterectomy due to endometriosis and large cysts about 5 years ago. About 3 weeks ago I had to have emergency surgery because my intestines and colon were badly tangled and twisted from scar tissue. I also had endometriosis and other large cysts. So I was hoping you could tell me if this could all be caused by NF. Thank you so much for your time."
482,is there a way to send me information about these two heart conditions? My son needs to be tested for them at some point and I would like information to better understand the conditions of both conditions,Is there any way you could send me information on both of these heart conditions? My son will need to undergo tests at some point and I would just like some information to better understand the conditions of both.,Can you send me information on these two heart conditions? My son will have to be tested eventually and I just want to know what is going on with these two heart conditions,Is there a way you can send me information about these heart conditions my son has to get tested eventually and I would like information to understand both of our conditions more?,Is there any way you can send me some information on both of these heart problems? My son needs to be tested for them at some point and I would just like some information to better understand the problems with both.
484,unknown mitochondrial mutation hi my son is almost 4 now and he was diagnosed with a mitochondrial mutation at about 10 months we have no treatment other than some vitamins and carnitine and he really has poor tone low energy pain and behavioral issues he also has sleep apnea and a history of tubes and now hearing impairment which we are investigating he has GERD and high piruvate levels and lactic acid levels almost every time they are measured his mutation has never been seen before i was wondering if there is any way you can help my twin sister has mito she was diagnosed through a muscle,unknown mitochondrial mutation hi my son his name is now he is almost 4 and was diagnosed with a mitochondrial mutation when he was about 10 months old we have no cure other than some vitamins and carnitine and he has really low tone low energy pain and behavioral issues he also has sleep apnea and a history of tubes and now hearing issues which we are investigating he has gastroesophageal reflux and high levels of pyruvate and lactic acid almost every time they are drawn his mutation has never been seen before I am wondering if you can help me in any way my twin sister has mito she was diagnosed through a muscle,"Unknown Mitochondrial Mutation Hi, my son is almost 4 now and was diagnosed with a mitochondrial mutation when he was about 10 months old, we have no treatment other than some vitamins and carnitine, he has poor pitch, low energy, pain and behavioral issues, he also has a history of sleep apnea and intubation and now has hearing loss, we are investigating, he has GERD and his pyruvate and lactate levels are high almost every time he draws blood, his mutation has never been seen before, I was wondering if you could help in any way, my twin sister has mitochondria and she was diagnosed through a muscle exam","Unknown Mitochondrial Mutation Hi my son is now almost 4 years old and was diagnosed with a mitochondrial mutation at about 10 months. We have no treatment other than some vitamins and carnitine and he has very poor tone, low energy, pain and behavioral issues. He also has sleep apnea and a history of tubal and now hearing impairment which we are investigating. He has gastroesophageal reflux and high levels of pyruvate and lactic acid almost every time he draws. His mutation has never been seen before. I am wondering if you can help in any way. My twin sister has mitochondria, she was diagnosed through a muscle.","unknown mitochondrial mutation Hi my son is now he is almost 4 and was diagnosed with a mitochondrial mutation at about 10 months. We have no treatment other than vitamins and carnitine and he has very poor tone, low energy, pain and behavioral issues. He also has sleep apnea and a history of tubes and now hearing loss which we are investigating. He has GERD and high pyruvate and lactic acid levels almost every time they are drawn. His mutation has never been seen before. I am wondering if you can help me in any way. My twin sister has a mitochondria she was diagnosed by a muscle."
