,spanish,french,chineese,italian,german
550,"Neuralgia del trigémino Tuve un episodio con el trigémino 2 días después de que me chocaran hacia atrás. Fue un dolor increíble que duró 10 días. En los meses siguientes tuve 2 cirugías de descompresión. La primera no funcionó. No me dolió durante unos 90 días. La segunda cirugía, 6 meses después, me dejó con la cara entumecida pero sin dolor en el trigémino. ¿Podría el trigémino haber sido provocado por el traumatismo en la cabeza por el accidente automovilístico? Me habían diagnosticado antes del accidente, pero no experimenté ningún síntoma durante mucho tiempo, luego el accidente y 1 día y 2 días después estoy en un episodio completo. Por favor, háganme saber qué les pasa.","Névralgie du trijumeau J'ai eu un épisode avec le trijumeau 2 jours après avoir été percuté par l'arrière. C'était une douleur incroyable qui a duré 10 jours. Dans les mois qui ont suivi, j'ai subi 2 opérations de décompression. La première n'a pas fonctionné. Je n'ai plus eu de douleur pendant environ 90 jours. La deuxième injection, 6 mois plus tard, m'a laissé le visage engourdi, mais aucune douleur au trijumeau. Le trijumeau aurait-il pu être provoqué par le traumatisme crânien causé par l'accident de voiture ? On m'avait diagnostiqué un problème avant l'accident, mais je n'avais ressenti aucun symptôme pendant longtemps, puis l'accident et 1 jour et 12 jours plus tard, je suis dans un épisode complet. Veuillez me faire savoir ce que vous en pensez.",三叉神经痛，我被追尾后两天，我曾因三叉神经痛发作过，疼痛难忍，持续了 10 天，随后的几个月里，我做了两次减压手术，第一次手术没有效果，大约 90 天内没有疼痛，第二次手术 6 个月后，我的脸部麻木，但没有三叉神经痛，三叉神经痛可能是车祸造成的头部创伤引起的，我在事故发生前就被诊断过，但很长时间没有出现任何症状，然后发生了事故，1 1 2 天后，我又一次发作，请告诉我你的情况,"nevralgia del trigemino ho avuto un episodio con il tri gem 2 giorni dopo essere stato tamponato, è stato un dolore incredibile che è durato 10 giorni nei mesi successivi ho avuto 2 interventi di decompressione il primo non ha funzionato è stato indolore per circa 90 giorni il secondo intervento 6 mesi dopo mi ha lasciato con il viso insensibile ma nessun dolore al tri gemm il tri gem potrebbe essere stato causato dal trauma alla testa dall'incidente d'auto mi era stato diagnosticato prima dell'incidente ma non ho avuto alcun sintomo per molto tempo poi l'incidente e 1 1 2 giorni dopo sono in un episodio conclamato per favore fatemi sapere cosa y","Trigeminusneuralgie. Ich hatte 2 Tage nach einem Auffahrunfall einen Anfall mit dem Trigeminusneuralgie. Es waren unglaubliche Schmerzen, die 10 Tage anhielten. In den darauffolgenden Monaten hatte ich 2 Dekompressionsoperationen. Die erste hat nicht geholfen. Ich war etwa 90 Tage lang schmerzfrei. Nach der zweiten Operation 6 Monate später hatte ich ein taubes Gesicht, aber keine Trigeminusneuralgie. Könnte das Trigeminusneuralgie durch das Trauma am Kopf durch den Autounfall verursacht worden sein? Ich war vor dem Unfall diagnostiziert worden, hatte aber lange Zeit keine Symptome. Dann der Unfall und 1 1 2 Tage später habe ich einen ausgewachsenen Anfall. Bitte lassen Sie mich wissen, was Sie tun."
551,¿Puedes darme más información sobre fisioterapia para el paciente con trombólisis con accidente cerebrovascular agudo con accidente cerebrovascular?,pouvez-vous me donner plus d'informations sur la physiothérapie pour les patients victimes d'un accident vasculaire cérébral aigu traité par thrombolyse,您能否给我更多有关急性中风患者溶栓治疗的物理疗法的信息,puoi darmi maggiori informazioni sulla fisioterapia per pazienti con ictus acuto trattati con trombolisi?,"können Sie mir weitere Informationen zur Physiotherapie für Patienten mit akutem Schlaganfall geben, die mit Thrombolyse behandelt werden?"
552,"Hola, mi nombre es el nombre, tengo una hija de 11 años con diabetes tipo 1 y tengo una consulta que la bacteria Pseudomonas aeruginosa ha sido detectada en el tanque de agua de mi edificio, descubrí que tengo que cuidar mucho con los diabéticos podría aconsejarme sobre que gracias",bonjour je m'appelle nom j'ai une fille de 11 ans atteinte de diabète de type 1 et j'ai une question la bactérie pseudomonas aeruginosa a été détectée dans le réservoir d'eau de mon immeuble j'ai découvert que je dois faire très attention avec les diabétiques pourriez-vous me conseiller à ce sujet merci nom,你好，我叫 name，我有一个 11 岁的女儿，患有 1 型糖尿病，我有一个疑问，我家楼房的水箱中检测到了铜绿假单胞菌，我发现我必须格外小心糖尿病患者，能否就此给我一些建议，谢谢 name,ciao mi chiamo nome ho una figlia di 11 anni con diabete di tipo 1 e ho una domanda il batterio pseudomonas aeruginosa è stato rilevato nel serbatoio dell'acqua del mio palazzo ho scoperto che devo prestare particolare attenzione con i diabetici potrebbe darmi un consiglio in merito grazie nome,"hallo, mein Name ist Name, ich habe eine 11-jährige Tochter mit Typ-1-Diabetes und ich habe eine Frage: Im Wassertank meines Gebäudes wurde das Bakterium Pseudomonas aeruginosa festgestellt. Ich habe festgestellt, dass ich bei Diabetikern besonders vorsichtig sein muss. Könnten Sie mir diesbezüglich einen Rat geben? Danke, Name"
553,Referencia de vacaciones en y cerca de Puerto Rico. Cómo encontrar un dentista para el dolor de muelas,référence vacances à Porto Rico et à proximité comment trouver un dentiste pour les maux de dents,推荐在波多黎各附近度假如何找到治疗牙痛的牙医,riferimento in vacanza in e vicino a località portorico come trovare un dentista per il mal di denti,Empfehlung für Urlaub in und in der Nähe von Puerto Rico Wie finde ich einen Zahnarzt bei Zahnschmerzen?
554,Mi bebé de 4 meses tiene albinismo ocular. ¿Puedes ayudarme o sugerirme algún medicamento para curarlo?,"mon bébé de 4 mois est atteint d'albinisme oculaire, pouvez-vous m'aider ou me suggérer un médicament pour le guérir",我的 4 个月大的宝宝患有眼白化病，你能帮助我或建议我服用什么药物来治愈他吗,"il mio bambino di 4 mesi ha l'albinismo oculare, puoi aiutarmi o suggerirmi qualche medicinale per curarlo?",mein 4 Monate altes Baby hat okulären Albinismus. Können Sie mir bitte helfen oder mir ein Medikament zur Heilung empfehlen?
555,"Error clínicotrialsgov encontrado en un estudio Estimado todo lo que soy nombre de Malasia que mi madre ha sufrido de MSA y se descubre en 2009 y tengo una pregunta de esto que demostró que esta enfermedad no es ser hereditaria. Tengo un ejemplo de la vida real es que es que es que es que es que es que es que es que es que es que es que es que Mi abuelo sufrió esta enfermedad y había fallecido seguido por mi tío que había heredado esta enfermedad, mi madre también recibió la misma enfermedad con su padre y esta enfermedad se descubre y se comprobó por ubicación es que realmente no es hereditaria si mi madre sufría de Esta enfermedad, ¿cuál es mi probabilidad?","erreur de clinicaltrialsgov trouvée dans une étude Chers tous, je suis de Malaisie, ma mère a souffert d'AMS et elle a été découverte en 2009. J'ai une question à ce sujet, elle a montré que cette maladie n'est pas héréditaire. J'ai un exemple réel : mon grand-père a souffert de cette maladie et il est décédé, suivi de mon oncle qui a hérité de cette maladie. Ma mère a également eu la même maladie avec son père et cette maladie a été découverte et prouvée par localisation. Est-ce vraiment héréditaire ? Si ma mère a souffert de cette maladie, quelle est ma probabilité que je l'obtienne ?",clinicaltrialsgov 在研究中发现错误 亲爱的大家 我叫马来西亚人 我的母亲患有多系统性硬化症 (MSA) 并且是在 2009 年发现的 我对此有一个疑问 这表明这种疾病不是遗传性的 我有一个现实生活中的例子 我的祖父患有这种疾病 他去世了 随后我的叔叔也遗传了这种疾病 我的母亲也和她父亲得了同样的疾病 这种疾病是在位置上发现和证明的 它真的不是遗传性的 如果我的母亲患有这种疾病 我得这种病的概率是多少,errore clinicaltrialsgov trovato in uno studio cari tutti mi chiamo malese mia madre ha sofferto di msa ed è stata scoperta nel 2009 ho una domanda da questo ha dimostrato che questa malattia non è ereditaria ho un esempio di vita reale è che mio nonno ha sofferto di questa malattia ed è morto seguito da mio zio che aveva ereditato questa malattia anche mia madre ha contratto la stessa malattia da suo padre e questa malattia è stata scoperta e dimostrata dalla posizione è che non è davvero ereditaria se mia madre ha sofferto di questa malattia qual è la mia probabilità di contrarre questa,"ClinicalTrialsgov-Fehler in einer Studie gefunden. Liebe alle, ich komme aus Malaysia. Meine Mutter leidet an MSA und es wurde 2009 entdeckt. Ich habe eine Frage dazu. Es hat sich gezeigt, dass diese Krankheit nicht erblich ist. Ich habe ein Beispiel aus dem echten Leben. Mein Großvater litt an dieser Krankheit und er starb. Danach folgte mein Onkel, der diese Krankheit geerbt hatte. Meine Mutter bekam dieselbe Krankheit wie ihr Vater und diese Krankheit wurde entdeckt und durch den Ort bewiesen. Ist das wirklich nicht erblich? Wenn meine Mutter an dieser Krankheit litt, wie hoch ist meine Wahrscheinlichkeit, dass ich sie bekomme?"
556,¿Qué significa un resultado positivo de MRSA por PCR? ¿Puedo hacerme la cirugía? ¿Soy contagioso?,que signifie un SARM positif par PCR puis-je quand même subir mon opération ? Suis-je contagieux ?<PAD><PAD><PAD>,pcr 检测呈阳性的 MRSA 意味着什么 我还能做手术吗 我有传染性吗<PAD><PAD><PAD>,cosa significa un MRSA positivo al PCR? Posso comunque sottopormi all'intervento? Sono contagioso? <PAD><PAD><PAD>,"was bedeutet ein positiver MRSA-Test durch PCR, kann ich mich trotzdem operieren lassen, bin ich ansteckend<PAD><PAD><PAD>"
557,"Soy madre de una niña de 13 años que ha sido diagnosticada con endometraciones. Sé que no está de lo correcto, el médico declaró que era severo y poco común para los niños de su edad, tenía 12 años cuando se le diagnostica, hay algo que esté sucediendo para su edad que no ha tenido. cualquier tratamiento y duele constantemente",je suis la mère d'une fille de 13 ans à qui on a diagnostiqué une endométrise. Je sais que ce n'est pas bien orthographié. Le médecin a déclaré que c'était grave et rare pour les enfants de son âge. Elle avait 12 ans lorsqu'elle a été diagnostiquée. Y a-t-il quelque chose qui se passe pour son âge ? Elle n'a eu aucun traitement et a constamment mal.,我是一个 13 岁女孩的妈妈，她被诊断患有子宫内膜异位症，我知道拼写不对，医生说这种情况很严重，对她这个年龄的孩子来说并不常见，她 12 岁时被诊断出患有子宫内膜异位症，她的年龄有什么问题吗？她没有接受任何治疗，而且一直很疼,sono la madre di una ragazza di 13 anni a cui è stata diagnosticata l'endometriosi so che non è scritto correttamente il dottore ha detto che era grave e poco comune per i bambini della sua età aveva 12 anni quando le è stata diagnosticata c'è qualcosa che non va per la sua età non ha fatto nessun trattamento e ha dolori costanti,"Ich bin die Mutter eines 13-jährigen Mädchens, bei dem Endometriose diagnostiziert wurde. Ich weiß, dass das nicht richtig geschrieben ist. Der Arzt sagte, es sei schwerwiegend und ungewöhnlich für Kinder in ihrem Alter. Sie war 12, als die Diagnose gestellt wurde. Ist für ihr Alter etwas los? Sie hat keine Behandlungen erhalten und hat ständig Schmerzen."
558,"Estoy interesado en aprender sobre tratamientos para la neoplasia mucinosa papilar intraductal (IPNM). Estoy particularmente interesado en nuevos tratamientos, tal vez cirugía menos invasiva o tratamientos alternativos. Sería bueno saber quién está realizando la investigación en esta área y dónde se está llevando a cabo. Gracias. Nombre Contacto","je suis intéressé à en savoir plus sur les traitements du néoplasme mucineux papillaire intracanalaire IPMN. Je suis particulièrement intéressé par de nouveaux traitements, peut-être une chirurgie moins invasive ou des traitements alternatifs. Il serait bon de savoir qui mène les recherches dans ce domaine et où elles sont menées. Merci. Nom Contact",我有兴趣了解导管内乳头状粘液肿瘤（ipmn）的治疗方法，我对新疗法特别感兴趣，也许是微创手术或替代疗法，想知道谁在进行该领域的研究以及在哪里进行研究，谢谢 姓名 联系方式,"sono interessato a conoscere i trattamenti per la neoplasia mucinosa papillare intraduttale (IPMN) sono particolarmente interessato a nuovi trattamenti, forse interventi chirurgici meno invasivi o trattamenti alternativi sarebbe utile sapere chi sta conducendo la ricerca in questo settore e dove viene condotta grazie nome contatto","ich interessiere mich für Behandlungen für intraduktale papilläre muzinöse Neoplasien (IPMN). Ich interessiere mich insbesondere für neue Behandlungen, vielleicht weniger invasive Chirurgie oder alternative Behandlungen. Es wäre gut zu wissen, wer die Forschung in diesem Bereich durchführt und wo sie durchgeführt wird. Danke. Name. Kontakt."
559,"Hola, no estoy seguro de si puedes ayudarme, pero mi esposa tiene distonía doparesceptiva DYT 5 y retinitis pigmentosa. Esperaba encontrar algo de información si es posible o ver si podrías ponerme en contacto con alguien que pueda ser más adecuado para esto. Queremos formar una familia y queremos saber cómo la distonía doparesceptiva DYT 5 y la retinitis pigmentosa pueden afectar al niño o a mi esposa durante el proceso. Actualmente está tomando levodopa a diario y le gustaría saber si esto en sí mismo podría tener un efecto en un feto. No estoy seguro de si he llegado al lugar correcto o no, pero solo miro","Bonjour, je ne sais pas si vous pouvez m'aider, mais ma femme souffre de dystonie doparesactive DYT 5 et de rétinite pigmentaire. J'espérais trouver des informations si possible ou voir si vous pouviez me mettre en contact avec quelqu'un qui pourrait être mieux adapté à cela. Nous souhaitons fonder une famille et voulons savoir comment la dystonie doparesactive DYT 5 et la rétinite pigmentaire peuvent affecter l'enfant ou ma femme pendant le processus. Elle prend actuellement de la lévodopa quotidiennement et aimerait savoir si cela en soi pourrait avoir un effet sur un enfant à naître. Je ne sais pas si je suis au bon endroit ou non, mais regardez simplement",你好，我不确定你是否能帮忙，但我的妻子患有多巴反应性肌张力障碍 dyt 5 和视网膜色素变性，我希望尽可能找到一些信息，或者看看你是否能帮我联系到更适合这个的人，我们想要开始一个家庭，想知道多巴反应性肌张力障碍 dyt 5 和视网膜色素变性在治疗过程中会如何影响孩子或我的妻子，她目前每天服用左旋多巴，想知道这本身是否会对未出生的孩子产生影响，不确定我是否来对地方了，但只是看看,"ciao non so se puoi aiutarmi ma mia moglie ha la distonia dopa-responsiva DYT 5 e la retinite pigmentosa. Speravo di trovare qualche informazione, se possibile, o di vedere se potevi mettermi in contatto con qualcuno che potrebbe essere più adatto a questo. Vogliamo formare una famiglia e vogliamo sapere come la distonia dopa-responsiva DYT 5 e la retinite pigmentosa possono influenzare il bambino o mia moglie durante il processo. Attualmente sta assumendo levodopa ogni giorno e vorrebbe sapere se questo di per sé potrebbe avere un effetto sul feto. Non sono sicuro di aver trovato la persona giusta, ma guarda","hallo, ich bin nicht sicher, ob Sie helfen können, aber meine Frau hat eine doparesponsive Dystonie DYT 5 und eine Retinitis pigmentosa. Ich hoffte, wenn möglich einige Informationen zu erhalten oder zu sehen, ob Sie mich mit jemandem in Kontakt bringen könnten, der dafür besser geeignet sein könnte. Wir möchten eine Familie gründen und möchten wissen, wie sich eine doparesponsive Dystonie DYT 5 und eine Retinitis pigmentosa während des Prozesses auf das Kind oder meine Frau auswirken können. Sie nimmt derzeit täglich Levodopa ein und würde gerne wissen, ob dies an sich Auswirkungen auf ein ungeborenes Kind haben könnte. Ich bin mir nicht sicher, ob ich an der richtigen Stelle gelandet bin oder nicht, aber ich sehe nur"
560,"desde que tomo letrozol los últimos 46 meses ahora tengo un quiste de 4 cm delante de mi ovario derecho que se debe extirpar ¿por qué me recetan un medicamento que también se prescribe a mujeres jóvenes que intentan concebir? Estoy posmenopáusica y tuve cáncer de mama en etapa temprana en 2010. Ahora que estoy terminando mi tratamiento de 5 años con este medicamento, tengo efectos adversos con un quiste, un óvulo que no fue fertilizado de las trompas de Falopio. No puedo entender esta lógica de darme este medicamento.","depuis que je prends du létrozole depuis 46 mois, j'ai maintenant un kyste de 4 cm devant mon ovaire droit qui doit être retiré. Pourquoi me prescrit-on un médicament qui est également prescrit aux jeunes femmes qui essaient de concevoir ? Je suis ménopausée et j'ai eu un cancer du sein à un stade précoce en 2010. Maintenant que je termine mes 5 ans avec ce médicament, j'ai des effets indésirables avec un kyste, c'est un ovule qui n'a pas été fécondé par les trompes de Fallope. Je ne peux pas comprendre cette logique de me donner ce médicament.",自从服用来曲唑 46 个月以来，我的右卵巢前面有一个 4 厘米的囊肿，必须切除。为什么医生给我开的这种药也是给想要怀孕的年轻女性开的？我已经绝经，2010 年患上了早期乳腺癌。现在我即将结束 5 年的药物治疗，我对囊肿产生了不良反应，囊肿是输卵管中未受精的卵子，我无法理解给我开这种药的逻辑,"da quando ho preso letrozolo negli ultimi 46 mesi ho una cisti di 4 cm davanti all'ovaio destro che deve essere rimossa perché mi è stato prescritto un farmaco che viene prescritto anche alle giovani donne che cercano di concepire? Sono in post-menopausa e ho avuto un tumore al seno in fase iniziale nel 2010, ora che sto terminando il mio ciclo di 5 anni con questo farmaco ho effetti collaterali con una ciste. Una ciste è un ovulo che non è stato fecondato dalle tube di Falloppio? Non riesco a capire questa logica nel darmi questo farmaco?","seit ich in den letzten 46 Monaten Letrozol genommen habe, habe ich nun eine 4 cm große Zyste vor meinem rechten Eierstock, die entfernt werden muss. Warum wird mir ein Medikament verschrieben, das auch jungen Frauen verschrieben wird, die versuchen, schwanger zu werden? Ich bin in der Postmenopause und hatte 2010 Brustkrebs im Frühstadium. Jetzt, wo ich meine 5-jährige Einnahme dieses Medikaments beende, habe ich Nebenwirkungen mit einer Zyste. Ist eine Zyste eine Eizelle, die nicht aus den Eileitern befruchtet wurde? Ich kann die Logik, mir dieses Medikament zu verschreiben, nicht verstehen."
561,"Gracias por tu consejo sobre la falta de aire al hacer tareas sencillas en la casa. He hecho lo que me dijiste: respirar por la nariz y luego exhalarlo con los labios fruncidos. Me funciona, pero me falta el aire constantemente. Mi médico revisó mi corazón y mis pulmones con su estetoscopio y dice que todo está bien. Sin embargo, sufro de hipertensión y presión arterial alta y tomo medicamentos para ello. Tengo 71 años y me gustaría saber si perder un poco de peso y caminar me ayudaría más. Necesito fortalecer mis músculos porque me canso con demasiada facilidad, lo que me hace sentir como si fuera un vago, lo cual soy.","merci pour votre conseil sur le fait d'être essoufflé en faisant des tâches simples dans la maison, j'ai fait ce que vous m'avez dit, respirer par le nez puis expirer par les lèvres pincées fonctionne pour moi mais je suis constamment essoufflé, mon médecin a examiné mon cœur et mes poumons avec son stéthoscope et dit que tout va bien, cependant je souffre d'hypertension et d'hypertension artérielle et je prends des médicaments pour cela, j'ai 71 ans et j'aimerais savoir si perdre un peu de poids et marcher m'aideraient davantage, je dois renforcer mes muscles car je me fatigue un peu trop facilement et me donne l'impression d'être paresseux, ce que je suis",谢谢你关于做家务时呼吸困难的小贴士，我按照你说的做了，用鼻子呼吸，然后撅起嘴唇呼气，对我有用，但我经常上气不接下气，医生用听诊器检查了我的心脏和肺部，说一切正常，但我确实患有高血压，正在服用药物，我今年71岁了，想知道减肥和散步是否会对我有帮助，我需要加强肌肉，因为我太容易疲劳，这让我觉得自己很懒惰，而我确实很懒惰,grazie per il tuo consiglio su come avere il fiato corto quando si fanno semplici faccende domestiche ho fatto quello che mi hai detto respirare con il naso e poi espirare con le labbra socchiuse funziona per me ma sono costantemente senza fiato il mio medico mi ha controllato il cuore e i polmoni con lo stetoscopio e ha detto che va tutto bene tuttavia soffro di ipertensione e pressione alta e prendo farmaci per questo ho 71 anni e vorrei sapere se perdere un po' di peso e camminare mi aiuterebbe ulteriormente ho bisogno di rafforzare i miei muscoli perché mi stanco troppo facilmente mi fa sentire come se fossi pigro e lo sono,"danke für Ihren Tipp gegen Kurzatmigkeit bei einfachen Hausarbeiten. Ich habe getan, was Sie mir gesagt haben. Durch die Nase atmen und dann durch gespitzte Lippen ausatmen. Das funktioniert bei mir, aber ich bin ständig außer Atem. Mein Arzt hat mein Herz und meine Lunge mit seinem Stethoskop untersucht und sagt, alles sei in Ordnung. Allerdings leide ich an Hypertonie und hohem Blutdruck und nehme Medikamente dagegen. Ich bin 71 Jahre alt und würde gerne wissen, ob es mir weiterhelfen würde, etwas abzunehmen und spazieren zu gehen. Ich muss meine Muskeln stärken, weil ich irgendwie zu schnell müde werde. Das gibt mir das Gefühl, faul zu sein, was ich bin."
562,"Las erupciones de época proceden a picazón vaginal y luego desarrollan una infección fúngica con descarga blanca gruesa y luego tomo antifúngico de flucanazol que lo cure, pero estoy preocupado de tomar medicamentos alopáticos, por favor, me digan qué métodos primitivos o tradicionales uso para evitarlo, también tengo una piel sensible.","les éruptions cutanées menstruelles se transforment en démangeaisons vaginales puis développent une infection fongique avec des pertes blanches épaisses. Je prends ensuite du flucanazole antifongique qui la guérit, mais j'ai peur de prendre des médicaments allopatiques. Dites-moi quelles méthodes primitives ou traditionnelles dois-je utiliser pour l'éviter. J'ai aussi une peau sensible",月经皮疹会引发阴道瘙痒，然后发展为真菌感染，并伴有浓稠的白色分泌物，然后我服用氟康唑抗真菌药物，可以治愈它，但我担心服用对抗真菌药物，请告诉我我可以使用哪些原始或传统方法来避免它，我也有敏感性皮肤,"le eruzioni cutanee del ciclo mestruale procedono con prurito vaginale, poi si sviluppa un'infezione fungina con perdite bianche spesse, quindi prendo un antimicotico flucanazolo che le cura, ma sono preoccupata di prendere farmaci allopatici, per favore dimmi quali metodi primitivi o tradizionali uso per evitarlo, ho anche una pelle sensibile","Ausschläge während der Periode führen zu vaginalem Juckreiz, dann entwickelt sich eine Pilzinfektion mit dickem, weißem Ausfluss. Ich nehme dann das Antimykotikum Flucanazol, das es heilt, aber ich habe Angst vor der Einnahme allopathischer Medikamente. Bitte sagen Sie mir, welche primitiven oder traditionellen Methoden ich verwende, um es zu vermeiden. Ich habe auch empfindliche Haut."
563,"Di positivo en la prueba de anfetaminas, pero no consumo drogas, tengo alergias graves y escuché que varios medicamentos de venta libre pueden causar falsos positivos. ¿Es esto cierto? ¿Hay una lista? Gracias por responder.","j'ai été testé positif à l'amphétamine mais je n'utilise pas de drogue. J'ai de graves allergies et j'ai entendu dire que plusieurs médicaments en vente libre peuvent provoquer de faux positifs. Est-ce vrai et existe-t-il une liste, merci de répondre",我的安非他明检测呈阳性，但我没有使用药物，我确实有严重的过敏症，听说几种非处方药会导致假阳性，这是真的吗？有没有一个清单，谢谢回复,"sono risultato positivo all'anfetamina ma non uso droghe, ho delle gravi allergie e ho sentito che diversi farmaci da banco possono causare falsi positivi. È vero? Esiste un elenco? Grazie per aver risposto?","ich wurde positiv auf Amphetamin getestet, nehme aber keine Drogen. Ich habe schlimme Allergien und habe gehört, dass mehrere rezeptfreie Medikamente zu falschen Positivbefunden führen können. Stimmt das und gibt es eine Liste? Danke für die Antwort"
564,Mi suegro murió recientemente después de que se le muriera el intestino delgado. Aparentemente estaba bien de salud y cenó el sábado y tuvo que ser llevado de urgencia al hospital el domingo temprano. El martes lo operaron después de que le bajara la presión arterial. Le quitaron 7080 de su intestino delgado y parte de su intestino grueso. ¿Es razonable que encuentren esta parte de su intestino muerta nuevamente? Parecía estar bien el día anterior.,mon beau-père est décédé récemment après la mort de son intestin grêle. Il était apparemment en bonne santé et a dîné samedi et a dû être transporté d'urgence à l'hôpital dimanche matin. Ils l'ont opéré après que sa tension artérielle ait chuté. Ils ont retiré 7080 de son intestin grêle et une partie de son gros intestin est morte. Est-il raisonnable qu'ils trouvent cette partie de son intestin morte à nouveau ? Il semblait aller bien la veille,我的岳父最近去世了，他的小肠坏死了，他看起来身体很好，星期六吃了晚饭，星期天一早被紧急送往医院，星期二血压下降后，他们对他进行了手术，切除了 7080 的小肠，部分大肠坏死了，这是合理的，他们会发现他的这部分肠子又坏死了，前一天他看起来还好,"mio suocero è morto di recente dopo che il suo intestino tenue è morto, apparentemente era in buona salute e ha cenato sabato e ha dovuto essere portato d'urgenza in ospedale domenica mattina, martedì mattina lo hanno operato dopo che la sua pressione sanguigna è scesa, gli hanno rimosso 7080 del suo intestino tenue e parte del suo intestino crasso morti, è ragionevole che abbiano trovato di nuovo questa parte del suo intestino morta? Sembrava stare bene il giorno prima?","mein Schwiegervater ist vor kurzem gestorben, nachdem sein Dünndarm abgestorben war. Er war anscheinend bei guter Gesundheit und aß am Samstag zu Abend. Am Sonntag früh wurde er ins Krankenhaus gebracht. Am Dienstag wurde er operiert, nachdem sein Blutdruck gesunken war. Sie entfernten 7080 seines Dünndarms und einen Teil seines Dickdarms. Ist es vernünftig, dass sie diesen Teil seines Darms wieder abgestorben vorfanden? Am Tag zuvor schien es ihm gut zu gehen."
565,"A mi hermana le diagnosticaron meningitis hace 13 años y perdió la vista. Varios médicos le han dicho que está mintiendo sobre no poder ver o que no ven por qué no puede ver dado que sus ojos reaccionan a la luz. Trece años después, hablé con ella hoy y estaba un poco contenta, dijo que ha estado teniendo buenos días. Le pedí que explicara más y dijo que a veces puede ver sombras y a veces puede ver luz. Por mi propio conocimiento, pensé que este tipo de pérdida de visión no se podía reparar. Les escribo a todos para obtener posibles respuestas o si pueden.","ma sœur a reçu un diagnostic de méningite il y a 13 ans et a perdu la vue. Plusieurs médecins lui ont dit qu'elle mentait en disant qu'elle ne pouvait pas voir ou qu'ils ne voyaient pas pourquoi elle ne pouvait pas voir étant donné que ses yeux réagissaient à la lumière. Avance rapide de 13 ans. Je lui ai parlé aujourd'hui et elle était un peu ravie. Elle a dit qu'elle avait passé de bons jours. Je lui ai demandé de développer et elle a dit que parfois elle pouvait voir des ombres et parfois elle pouvait voir de la lumière. D'après ma connaissance de soi, je pensais que ce type de perte de vision ne pouvait pas être réparé. Je vous écris tous pour avoir des réponses possibles ou si vous le pouviez.",我姐姐 13 年前被诊断出患有脑膜炎，并失去了视力。多位医生告诉她，她谎称自己看不见，或者他们不明白为什么她看不见，因为她的眼睛对光线有反应。快进 13 年，今天我和她交谈，她有点欣喜若狂，她说她过得很好。我请她详细说明，她说有时她能看到阴影，有时她能看到光线。从我的自我认知来看，我认为这种视力丧失是无法修复的。我写信给你们，希望得到可能的答案，或者如果你可以,"a mia sorella è stata diagnosticata la meningite 13 anni fa e ha perso la vista, diversi dottori le hanno detto che sta mentendo sul fatto di non riuscire a vedere o che non capiscono perché non ci vede, dato che i suoi occhi reagiscono alla luce. Andiamo avanti di 13 anni, ho parlato con lei oggi ed era un po' felicissima, ha detto che ha avuto delle belle giornate, le ho chiesto di spiegare meglio e ha detto che a volte riesce a vedere le ombre e a volte riesce a vedere la luce. Dalla mia autoconoscenza ho pensato che questo tipo di perdita della vista non potesse essere riparata. Vi scrivo per avere delle possibili risposte o se potete","bei meiner Schwester wurde vor 13 Jahren Meningitis diagnostiziert und sie verlor ihr Augenlicht. Mehrere Ärzte sagten ihr, dass sie lüge, wenn sie sagt, dass sie nicht sehen könne, oder dass sie nicht wüssten, warum sie nicht sehen könne, da ihre Augen auf Licht reagieren. 13 Jahre später sprach ich heute mit ihr und sie war ein wenig überglücklich. Sie sagte, dass sie gute Tage gehabt habe. Ich bat sie, das näher zu erläutern und sie sagte, dass sie manchmal Schatten und manchmal Licht sehen könne. Aus meiner Selbsterkenntnis dachte ich, dass diese Art von Sehverlust nicht wiedergutzumachen sei. Ich schreibe euch allen, um mögliche Antworten zu erhalten oder ob ihr mir helfen könntet."
566,Los problemas de movimientos intestinales irregulares en el baño están afectando mi trabajo y mi vida sexual<PAD><PAD>,Les problèmes de mouvements irréguliers des selles dans la salle de bain affectent mon travail et/ou ma vie sexuelle<PAD><PAD>,卫生间排便不规律的问题影响了我的工作和性生活<PAD><PAD>,I problemi di movimenti intestinali irregolari in bagno stanno influenzando il mio lavoro e la mia vita sessuale<PAD><PAD>,"unregelmäßiger Stuhlgang, Probleme im Badezimmer beeinträchtigen meine Arbeit und/oder mein Sexualleben<PAD><PAD>"
567,"tuve la segunda inyección en marzo, muchos efectos secundarios aleatorios habían descartado el corazón esperando que persistan los síntomas de la biopsia del esófigo.","j'ai reçu une 2e injection en mars, beaucoup d'effets secondaires aléatoires, j'ai exclu la maladie cardiaque, j'attends le rapport de biopsie de l'œsophage, pendant ce temps, les symptômes du cœur et de la bouche persistent",3 月份注射了第二针，出现了很多随机副作用，排除了心脏问题，等待食道活检报告，同时心脏和口腔颈部症状持续存在,"ho fatto la seconda iniezione a marzo, molti effetti collaterali casuali, ho escluso il cuore, in attesa del referto della biopsia esofagea, nel frattempo persistono i sintomi al cuore e al collo della bocca","Habe im März die zweite Injektion bekommen, viele zufällige Nebenwirkungen, Herz wurde ausgeschlossen, warte auf den Bericht zur Speiseröhrenbiopsie, während die Herz- und Mund-Hals-Symptome bestehen bleiben"
