,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
508, genetic condition passed from mother i am looking for the name of,"Girls are carriers, but only boys show symptoms. It is",I am looking for the name of a genetic condition passed down, genetic disease passed down from mother. Girls are carriers but only,"Girls are carriers but only boys have symptoms, this disease is"," genetic condition passed down from the mother. Girls are carriers,"
509,i was not given this tablet after breast surgery in 2007 and,I was menopausal in 1990 so was not offered Tamoxin,Can you please tell me what year letrozole was,"I was postmenopausal in 1990, so I was not",I was postmenopausal in 1990 so I did not take,I had breast surgery in 2007 and my tumour grew back
510,Phentermine substantially relieved my arthritis pain. My doctor,I started taking phentermine for weight loss about 3 years,Phentermine has substantially relieved my arthritis pain. My,Phentermine helped my arthritis pain significantly. My doctor,I started taking phentermine for weight loss about 3 years,Phentermine substantially relieved my arthritis pain. My doctor
511,i am looking for recent information and treatment for ledderh,I am looking for current information and treatment options for Ledder,I am looking for information and recent treatments for Ledderh,i am looking for recent information and treatments for Ledderh,I am looking for the latest information and treatments for Ledder,I am looking for the latest information and treatment for Ledder
512,Find an antidepressant that does not contain soy in any ingredient.,I received instructions from the FDA to use this site to find,I have received instructions from the FDA to use this site to,I have been instructed by the FDA to use this site to,FDA says to use this site to find antidepressants that do,I was instructed by the FDA to use this site to find
513,What can i give my age father to help him sleep?,I had a black spot on my face which was caused by,nan,nan,nan,nan
514,My father has lost his hearing in one ear and ever since,My father has lost hearing in one ear and has been suffering,nan,My father lost hearing in one ear and since then he has,My father lost his hearing in one ear and ever since then,My father has lost hearing in one ear and has been suffering
515,My sister has been told that she has breast cancer. I,My doctor doesn't know of any medication that can be used,nan,nan,nan,nan
516,i lost 24 lbs do you have an exercise i can do,"I have lost 24 pounds, do you know an exercise that","I lost 24 pounds, do you have an exercise I can",nan,"I have lost 24 pounds, is there any exercise that can",I lost 24 pounds. Do you have any exercises I can
517,i want to know if botox is useful in treating someone,I want to know if Botox is helpful in treating a,I want to know if botox is useful in treating a,I want to know if Botox is helpful in treating someone,I want to know if botox would be useful for treating,I want to know if Botox is useful to treat someone
518,i cannot locate any information on this condition causes symptoms treatment etc,"I can't find any information about this disease, causes,","I can't find any information about this condition, causes,","I can't find any information about this condition, its causes","I can't find any information on the causes, symptoms,","I cannot find any information on this condition, causes, symptoms"
519,What is the latest news on tennitis or ringing in,I am 75 years old and have had ringing in the ear,I am 75 years old and have had ringing in the ears,nan,nan,I am 75 years old and have had ringing in my ear
520,Aortic valve replacement surgery is minimally invasive surgery m,I'm looking for a doctor who specializes in androgen ins,nan,nan,nan,nan
521,i have had two surgeries on my right forearm the last was,I am looking for a doctor to perform a tubal l,nan,nan,nan,nan
522,My thalamic lacunar stroke is yours to study,My thalamic lacunar stroke is available for your,nan,nan,I would like to know about my thalamic lacun,nan
523,i had a trisomy 13 mosaic infant and now my,My sister-in-law has just been diagnosed with a,Is it possible that both siblings are carriers of a translocation,i had a baby with trisomy 13 mosaic and now,Is it possible that both brothers carry the translocation gene?,Is it possible that both siblings can carry a translocation?
524,i have foot drop for damage to the common peroneal,I have foot drop due to damage to the common perone,i have foot drop due to common peroneal nerve damage,i have foot drop due to common peroneal nerve injury,I have foot drop due to damage to the common perone,I have foot drop due to damage to the common perone
525,What is the best way or test to know the reason for,"I have difficulty smelling scents and chemicals, especially cleaning chemicals",nan,nan,nan,nan
526,i am diabetic since last 18 years and present it is 66,I have been diabetic for 18 years and currently my body weight,nan,i am diabetic since 18 years and currently it is 66.,I have been suffering from diabetes for 18 years and currently 66,I am diabetic since 18 years and currently i am 66.
527,Is it possible to lose ear pressure more in one ear than,Is it possible for ear pressure to decrease more in one ear,It is possible to lose ear pressure more in one ear than,Is it possible to lose more ear pressure in one ear than,nan,Is it possible to lose more pressure in one ear than the
528,i saw nothing about thrush being transferred from one person to,I am currently suffering from adhesions in my lower abdomen,nan,nan,nan,nan
529,My right shoulder is getting pain and my right hand is not,Coenzyme Q10100 mg. Is it suitable for,nan,nan,nan,nan
530,My husband has blood pressure of 247 in one arm and 170,I am a 60 year old man and have NF and congest,nan,nan,nan,nan
531,i had my prostate removed by surgery because of cancer several years,I had my prostate removed several years ago because of cancer.,I had my prostate surgically removed due to cancer several years,I had prostate surgery removed due to cancer several years ago.,I had a prostatectomy a few years ago due to,I had my prostate removed by surgery due to cancer several years
532,My husband has had 3 strokes since 1990 he refuses to take,My husband has had three strokes since 1990 and refuses to take,My husband has had 3 strokes since 1990 and refuses to continue,"My husband has had 3 strokes since 1990, he refuses to",Husband has had 3 strokes since 1990 and refuses any,"Husband has had 3 strokes since 1990, refuses to"
533,After viral infection body does not return normal still is severely weak,"The body does not return to normal after a viral infection,",After a viral infection the body does not return to normal and,nan,nan,After a viral infection the body does not return to normal and
534,Hospice helped our family with his passing and offered us,My father died the day of his death. The hospice,Hospice helped our family with his passing and offered us,Palliative care helped our family when he passed away.,My father passed away on the date that Hospice helped our,My father passed away. The hospice helped our family with
535, does high thyroid level 3113 interfere with recovery?,I just had a bilateral knee replacement on 1/15/,I just had a double knee replacement on 01152014.,I just had a double knee replacement on 01152014.,Can high thyroid hormone levels of 3113 affect recovery?,High thyroid level 3113 interfere with recovery? I just had
536,My grandma takes dialysis treatments and hers blew a couple days,My grandmother is undergoing dialysis treatment and a few days ago,My grandmother is on dialysis treatments and hers burst a couple,My grandmother is on dialysis and hers burst a few days,My grandma is on dialysis and a few days ago her,My grandmother takes dialysis treatments and hers burst a couple days
537,There are three children with different genetic disorders in our family line,"Three cousins have different genetic disorders. One has Down syndrome,",In our family line there are three children with different genetic disorders,"In our family line, there are three children with different genetic","In our family we have three children with different genetic disorders,",In our family line there are three children with different genetic disorders
538,i have suffered with scalp psoriasis for the last 2,I have been suffering from psoriasis on my scalp for,i have been suffering from psoriasis on my scalp for,I am taking blood pressure medication after triple bypass surgery. Would,I have been suffering from scalp psoriasis for the past,For the past 2 years I have suffered with psoriasis
539,Can you tell me if this drug is gluten free pms,"Can you tell me if this medicine is gluten free, PM",Can you tell me if this medicine is gluten free pms,Can you tell me if this medicine is gluten free pms,Can you tell me if this medication is gluten free pms,Can you tell me if this medicine is gluten free? p
540, broken veins in legs is vein surgery for mostly cosmetic reasons recommended, vein surgery recommended for mostly cosmetic reasons all dangers serious side effects,nan," vein surgery recommended mainly for cosmetic reasons. No danger, serious",Vein surgery is mainly recommended for cosmetic reasons. Serious side,Broken leg veins are a vein surgery that is recommended primarily
541,i was recently diagnosed with lupus a few months prior,Plaquenil is in the quinolone family,I was recently diagnosed with lupus a few months ago,I was recently diagnosed with lupus. I had a,nan,I was diagnosed with lupus a few months ago and
542,garcinia cambodia in the usa and,Garcinia Cambodiato combat obesity. Garcinia Cambodia,nan,nan,There are many advertisements in the US and elsewhere claiming that extracts,Garcinia cambogia in the USA and elsewhere
543,My aunt is on the following meds and is having pain,My aunt is taking the following medications and has pain that is,My aunt is taking the following medications and has pain that is,My aunt is taking the following medications and has pain that is,My aunt is taking the following medications but the pain is not,My aunt is taking the following medications and has pain that is
544,The left side of my body will start to do strange things,I want to find out if there are any side effects if,nan,nan,nan,nan
545,Help me find a trusted doctor who performs this kind of surgery,Help me find a trustworthy doctor that performs this type of surgery,Help me find a trusted doctor that performs this type of surgery,Help me find a trusted doctor who performs strabismus,Help me find a trusted doctor who can do strabism,Help me find a reputable doctor that performs strabismus
546, i have rash on the skin of the scrotum what,I have a rash on my scrotum. What could,"I have a rash on my scrotum skin, what","I have a rash on my scrotal skin, what","I have a rash on my scrotal skin, what",I have a rash on the skin of my scrotum
547,i am wondering specifically about any contact precautions or if any protective,"Hi, can you tell me if there are any special mixing",I would like to know in particular if there are any contact,nan,nan,I am specifically wondering about contact precautions or if any protective equipment
548,i have a history of internal spontaneous bleeding into the joints or,Blood clotting tests always come back positive when someone has mild,Blood clotting tests are always positive if you have mild to,Blood clotting tests are always positive if you have mild and,Blood clotting tests are always positive if you have mild or,Blood clotting tests are always positive if one has mild-
549,i have a fungal infection on my two legs which i,I have a fungal infection on both legs which I have,i have a fungal infection on both legs which i have,i have a fungal infection on both my legs which i,I have a fungal infection on both my legs and I,I have a fungal infection on both of my paws which
550, trigem neuralgia i had an episode with the tri,I have a really serious problem with myself and the stress I,nan,nan,nan,nan
551,Can u give me more information about physiotherapy for patient with,Patients with acute stroke who are being treated with throm,"""Can you give me more information about physiotherapy for acute", for acute stroke patients treated with thromboly,nan, for acute stroke thrombolysis patient.
552,The bacteria pseudomonas aeruginosa has been detected,I would like to know more about my condition. Please send,nan,nan,nan,nan
553, referral vacationing in and near location puerto rico how,How do I find a dentist if I have a toothache,How to find a dentist for toothache in Puerto Rico.,How to find a dentist for toothache in Puerto Rico.,Puerto Rico is a U.S. territory.,Vacation Reference in and around Puerto Rico. How to
554,My 4 months baby has ocular albinism can you,My 4 month old baby has ocular albinism.,My 4 month old baby has ocular albinism.,My 4 month old baby has ocular albinism.,My 4 month old baby has ocular albinism.,My 4-month-old baby has ocular albin
555,My mother has suffered from msa and it is be discovered,My mother suffers from MSA and it was discovered in 2009, clinicaltrialsgov error found in a study dear all my,My mother suffered from AMS and it was discovered in 2009, clinicaltrialsgov found errors in the study., Clinicaltrialsgov error found in a study. My mother
556,What does a positive mrsa by pcr mean?,"What does a positive MRSA test by PCR mean, can",What does a PCR positive MRSA mean? Can I still,What does a positive MRSA by PCR mean can I still,What does a positive MRSA pcr test mean? Can,What does a positive PCR result for MRSA mean? Can
557,13 year old girl has been diagnosed with endometrises.,13-year-old girl diagnosed with endometriosis,13-year-old girl diagnosed with endometriosis,13-year-old girl diagnosed with endometritis.,13-year-old girl diagnosed with endometriosis,13-year-old girl diagnosed with endometriosis
558,i am interested in learning about treatments for intraductal,I am interested in treatments for intraductal papillary,I am interested in learning about treatments for intraductal,nan,I am interested in learning about the treatment of intraduct,I am interested in learning about treatments for intraductal
559,My wife has doparesponsive dystonia dy,My wife has doparesponsive dystonia D,My wife has DYT 5 dopa responsive dyston,My wife has doparesactive dystonia DYT,My wife has dopa responsive dystonia dyt 5,My wife has DYT 5 doparesceptive dyston
560,Since taking letrozole the last 46 months i now,I am post-menopausal and had early stage breast cancer,Since taking letrozole for the past 46 months i,i am post menopausal and had early stage breast cancer in,Since taking Letrozole for 46 months I have a,i am post menopausal and had early stage breast cancer in
561,71-year-old woman is constantly out of breath.,I have hypertension and high blood pressure and take medication for it,I am constantly out of breath when doing simple household chores.,"i am constantly out of breath, my doctor checked my heart","I am constantly out of breath, the doctor checked my heart",I suffer from hypertension and high blood pressure and take medication for
562, period rashes proceed to vaginal itching then it develop fungal,"Rashes during periods lead to vaginal itching, then a fun"," menstrual cycle rashes proceed with vaginal itching, then fungal", menstrual rashes turn into vaginal itching then develop fungal infection, menstrual rash triggers vaginal itching which then develops into a fungal,"I have period rashes, vaginal itching and then develop fun"
563,i tested positive for amphetamine but do not use drugs.,I tested positive for amphetamines but I don't take,I tested positive for amphetamine but I don't do drugs,I tested positive for amphetamine but I don't use drugs,I tested positive for amphetamines but I am not on,"I tested positive for amphetamines, but I don't"
564,My fatherinlaw died recently after his small intestine died.,My father-in-law died after his small intestine died,My father in law recently passed away after his small intestine died,My father in law recently passed away after his small intestine died,nan,My father-in-law recently died after his small intestine
565,My sister was diagnosed with meningitis 13 years ago and,My sister was diagnosed with meningitis 13 years ago and,My sister was diagnosed with meningitis 13 years ago and,My sister was diagnosed with meningitis 13 years ago and,My sister was diagnosed with meningitis 13 years ago and,My sister was diagnosed with meningitis 13 years ago and
566, irregular bowl movements problems in bathroom is affecting my work and or,I am a 23-year-old boy and I have,nan,nan,nan,nan
567,Had 2nd injection in march lots of random side effects had,"""Got the second injection in March, lots of random side",nan,"""I had a 2nd injection in March, lots of",nan,nan
568, i have been having bm two or three times a day,"I would like to ask, Name MD, Professor of Medicine",nan,nan,nan,nan
569,In first pregnancy i had a fetus with diaphragmatic,In my first pregnancy I had a fetus with diaphrag,In the first pregnancy i had a fetus with diaphrag,In my first pregnancy I had a fetus with a diaph,I had a fetus with diaphragmatic hernia in,In my first pregnancy I had a fetus with diaphrag
570,Any head lice treatment that claims to kill lice and,Vamousse head lice treatment's claim to kill 100,Vamousse head lice treatment claims to kill 100 l,The Vamousse head lice treatment claims to kill 100,Any head lice treatment product that claims to kill lice,Vamousse lice treatment claims to kill 100 lice
571, is tamsulosin glutenfree and where is it,Is tamsulosin gluten free and where is it,nan, is tamsulosin gluten free and where is it,Is tamsulosin gluten free? Where is it,Is tamsulosin gluten free and where is it
572,In 1996 i had an accident on my left eye when a,In 1996 I had an accident with my left eye when a,In 1996 i had an accident in my left eye when a,In 1996 i had an accident in my left eye when a,In 1996 I had an accident in my left eye when a,nan
573,i was a victim from an abusive relationship both verbal and physical,"""I was the victim of a verbally and physically abusive relationship",nan,i was in an abusive relationship both verbal and physical during this,"""I was a victim of an abusive relationship, I was","""I was a victim of an abusive relationship both verbally and"
574, herbs and nutritional supplements have been associated with kidney injury.,I need to know the list of herbs and supplements linked to, herbs and dietary supplements have been linked to kidney damage.,Herbs and nutritional supplements have been linked to kidney damage.,I need a list of herbal and nutritional supplements linked to kidney,nan
575,There is a case in my family and it is being followed,My partner has Meesmann's corneal dystro,nan,nan,nan,nan
576,My bf has enlarge prostate and his sex drive has decreased,My boyfriend has this and has tried different pills and now he,My boyfriend has this problem and he has tried different pills.,My boyfriend has it and he has tried different pills and now,nan,My boyfriend has that and he tried different pills and now he
577,Cinca sindrome where the treatment of cinc,My husband has cystic fibrosis and he had a bilateral,nan,nan,nan,nan
578,Your information about whipples disease says that it is fatal if,I have been sick for 6 years and have had no luck,Your information on Whipple's disease say it is fatal if,"Whipples disease is fatal if left untreated, but there is",Whipple's disease indicates that it is fatal if not treated,Your information on Whipples disease says it is fatal if left
579,My binocular vision is not good enough and the eyedo,My binocular vision is not good enough. Is there a,My binocular vision is not good enough and the eye doctor,I started flying at the age of 15 and have been flying,nan,My binocular vision is not good enough. Is there any
580,My grandson has facioscapulohumeral muscular dy,My grandson has facioscapulohumeral muscular dy,My nephew has facioscapulohumeral muscular dy,My grandson has facioscapulohumeral muscular dy,nan,My grandson has facioscapulohumeral muscular dy
581,i wanted to inquire about ndc 005271728,I take 5mg of amlodipine and will,nan,nan,nan,nan
582,i have had this on and off for 13 years most rash,I am amazed by new research and tests on macular degener,nan,nan,nan,nan
583,Serratia marcescens in a leg wound that does,I have used gentamicin and I do not see any,Serratia marcescens bacterium in a wound on,nan,"""I would like to ask, please tell me, when",nan
584,My blood tests showing very low number of blood platelets 16,My blood tests show very low platelet count (16100,My blood tests show very low platelet count in blood 16,My blood tests show very low blood platelet count 16100,My blood test showed very low platelet count of 16100,My blood tests show very low blood platelet count 16100
585, tea tree oil is identified on a product as fragrance and i,Tea tree oil is labeled as a fragrance on a product., tea tree oil is identified on a product as a fragrance.,nan,Tea tree oil is identified as a fragrance on the product.,Tea tree oil is identified in a product as fragrance and is
586,i have a relative that have onset of type 2 diabetes.,We want to know if there is a natural approach to improve,nan,I have a relative who has early stage type 2 diabetes.,I have a relative who has type 2 diabetes and we are,I have a family member who has started to have type 2
587,At night i have very bad lower leg skin itching is this,I am recovering from shingles and taking antiviral medication,nan,nan,nan,nan
588,Pomegranate juice might decrease how quickly the liver breaks,Pomegranate juice may decrease the rate at which the,nan,nan,Pomegranate juice may slow down how quickly the liver,nan
589,Migraine seems to be a spectrum of conditions rather than,Migraine appears to be a spectrum of disorders rather than,Migraine appears to be a spectrum of conditions rather than,nan,Migraines seem to be a range of conditions rather,Migraine appears to be a spectrum of conditions rather than
590,My legs are cramping like someone has pushed a knitting needle,"I have severe cramps in my feet, which twist into",I have severe cramps in my feet that twist into an,I have severe cramps in my feet that twist in an,"My feet cramp badly and twist into an arc, the",I have severe cramps in my feet which twist into an
591,The doctor wants my father to take interferon alfa,The doctor wants my father to take interferon alfa,The doctor wants my father to take interferon alfa,The doctor wants my father to take interferon alfa,Melanoma doctors want my father to take interferon,The doctor wants my father to take interferon alfa
592,My wife suffers from ms since 1991 where the base is cognitive,"My wife has been suffering from MS since 1991, but the",My wife has been suffering from MS since 1991. I would,My wife has had multiple sclerosis since 1991. She has no,"""I would like to consider more information on stem cell research","My wife has suffered from MS since 1991, where the basis"
593,Duchenne muscular dystrophy is a genetic disease,Duchenne Muscular Dystrophy is a genetic,Duchenne Muscular Dystrophy is a genetic,Duchenne muscular dystrophy is a genetic disease,Duchenne Muscular Dystrophy is a genetic,Duchenne Muscular Dystrophy is a genetic
594,i had the lap band but i just gain the weight back,Many of us are afraid of an asymptomatic internal,nan,nan,nan,nan
595,My dear friend name 52 years location recently had both legs amput,I found 4 cases of expired hydrogen peroxide 042010.,nan,nan,nan,nan
596,Do 40 mg twice day equal constant 40 mg or does it,Is 40 mg twice daily a constant 40 mg or is the,Is 40 mg twice a day equivalent to 40 mg constant or,Is 40 mg twice a day equal to 40 mg constant or,If my doctor prescribes me inderal 40 mg twice a,Is it appropriate to follow the pharmacists instructions instead of the
597,My husband name took 1 bottle of the berry smoothie,My husband took a bottle of the berry smoothie flavor,Is it normal for patients stools to be completely blood red,nan,Is it normal for a patient's stool to be dark red,nan
598,My daughter was recently diagnosed with a ctnnb1,My father loses balance while walking or climbing stairs. We need,nan,nan,nan,nan
599,i am 32 yrs old 56 ft and 68 kg w,I exercise and masturbate 45 times a week because my test,"I am 32 years old, 17 meters tall and weigh 68","""I have problems with erection during sex when I am excited","""I am 32 years old, 56 feet tall, 68","I am 32 years old, 1.70 m tall and"
600,Our family are dealing with the ugly disease of alzheim,My wife's father suffers from the terrible disease Alzheimer's.,My wife's father is dealing with the nasty disease of Alzheimer,My wife's father is battling the nasty Alzheimer's disease.,My wife's father is dealing with the horrible disease of Alzheimer,Our family and my wife's father are dealing with the horrible
601,i suffer from a rare tau aggregation illness called pallido,I suffer from a rare tau aggregation disease called Pallido,I suffer from a rare tau aggregation disorder called pallid,I suffer from a rare tau aggregation disease called pallid,I have a rare tau aggregation disease called pallid pont,nan
602,Haglunds deformity of the calcaneum.,My daughter has distal renal tubular acidosis we are,nan,nan,nan,nan
603,My daughter is 12yrs old and is obese. My son,"I am a mother of 5 children. My son, the","I am a mother of 5 children, my son has leukemia","I am a mother of 5 children, my son has leukemia","I am a mother of 5 children, my son has leukemia","My daughter is 12 years old and she is obese, I"
604,How long after tetanus vaccine administration does a patient have immunity,How long after receiving the tetanus vaccine is a patient immune,How long after a tetanus vaccine does a patient have immunity,How long after tetanus vaccine is given does a patient have,How long does it take for a person to become immune after,How long after tetanus vaccination does a patient have immunity?
605,My mom is 82 years old suffering from anixity and,My father has colon cancer and said he saw a commercial on,nan,nan,nan,nan
606,i had sex a couple of days after my period but i,I had sex a few days after my period but I got,nan,I had sex a few days after my period but I had,I had sex a few days after my period ended but I,I've been having pain in my sides and stomach. What
607,Can you be infected by this disease through contact in the blood,A few drops of blood accidentally splashed on my face.,nan,I was wondering if Huntington's disease could be contagious for example,Can you catch Huntington's disease from contact with the blood of,Can you get infected through contact with the blood of a person
608,My teeth gum blood comeing what medicine i use. My,"My gums are bleeding, which medicine should I take?",My teeth gums blood what medicine do i use. my,"My teeth and gums are bleeding, what medicine should i",nan,The blood from my teeth gum comes what medicine do I use
609, bronchiectasis colonised psa mdr mucstr,"""I just sent a message saying I'm working at the",nan,nan,nan,nan
610,My aunty has a kidney disease and wants to use,My aunt has kidney disease and wants to use a product that,My aunt has kidney disease and wants to use a product that,My aunt has kidney disease and wants to use a product that,My aunt has kidney disease. Is it okay for her to,nan
611,Genes associated with lynch syndrome are jumping genestrans,What causes high blood pressure and diabetes?,nan,nan,nan,nan
612, is tdm1 drug can be used to improve immune to,I have had type 1 diabetes since I was nine months old,nan,nan,nan,nan
613,Celiac disease sufferers need to know if their medication,You list starch as one of the ingredients. What is the,Is this medicine gluten free? Is it safe for celiac,"Is this medicine gluten free, is it safe for someone with",nan,Is this medicine gluten-free? Is it safe for someone
614,i am taking metformin and i am concerned about how,I would appreciate any good information about Lewy Body Dement,nan,nan,nan,nan
615,i do not know if i had chickenpox is there a,I don't know if I've had chickenpox. Is,"I don't know if I've had chickenpox, is",I don't know if I've had chickenpox. Is,Can a blood test tell if you've had chickenpox?,I don't know if I've had chickenpox. Is
616,Where can i purchase topical gabapentin cream do i,What is your opinion on health problems and the long-term,nan,nan,nan,nan
617,i badlydislocated my finger 7 weeks ago i reset,My sister's legs and nerves are trying to interfere with each,nan,nan,nan,nan
618,i am 9 years post bleed stroke and still can not use,3 week old baby admitted to hospital due to growth retardation,nan,nan,nan,nan
619,Can you please tell me if the product xout washin,Xout Washin Treatment Benzoyl Peroxide Gel contains,Can you tell me if the product xout washin treatment, xout washin treatment gel with benzoyl peroxide,Can you tell me if the xout washin treatment benz, xout washin treatment benzoyl peroxide gel contains
620, cypress pharmaceuticals is going out of business and after next,Cypress Pharmaceuticals is going out of business and will,Cypress Pharmaceuticals is closing its doors next month.,After next month Cypress Pharmaceuticals will no longer be able,Cypress Pharmaceuticals is going out of business and they,Cypress Pharmaceuticals is going out of business and after
621,i have giant cell arteritis on steroids lost taste is this,I am currently a gastroparesis warrior with a G,nan,nan,nan,nan
622,i want detail information about pediatric and gestational nutrition. paed,Are there treatments for MSUD? Genetic or chromosomal changes,nan,nan,nan,nan
623,i have a daughter in law with glioblastoma,Anorexia Project is a year-long service project.,nan,nan,nan,nan
624,i have shingles in my head. when can i,My 59-year-old sister has a diagnosis of per,nan,nan,nan,nan
625,i was diagnosed with perneuropathy mild nerve pain to,"In 1989 I was diagnosed with perineal neuropathy,",nan,In 2006 I decided to have bunion surgery on one foot,I was diagnosed with perineuropathy in 1989 and had,I was diagnosed with mild nerve pain from perneuropathy
626, hospital stay for a hitiala hernia to be removed,I have a hernia that needs to be removed. How,I have a hernia that needs to be removed. How,nan,How long will I need to stay in the hospital after the,I have a hernia that needs to be removed. How
627,Sir i m hasitate during talking for example name nanan,I am suffering from optic nerve atrophy which caused vision loss,nan,nan,nan,nan
628,There is a lot of collection its good but i dont find,"There is a lot of collection, it is good, but","There is a lot of collection, it is good but i",There are many collection it's good but i can't find,nan,I want to know about male reproductive system. There are many
629,i am 33 yearsold from romania in europe,I have a 6 inch difference between my left humerus,I have a difference of 6 inches between my left and right,i have a 6 inch difference between my left humerus,There is a 6 inch difference between my left and right hum,i have a 6 inch difference between my left and right hum
630,i notice that the joints or bones in my hands hurt sharply,"""I notice that the joints or bones in my hands hurt","""I noticed that the joints or bones in my hands hurt",I notice that the joints or bones in my hands hurt a,I get severe pain in the joints or bones of my hands,"""I notice that the joints or bones in my hands hurt"
631,Many women who are reading this are excited to give it a,Many women reading this are excited to try it they think their,Many women reading this are excited to try it they think their,"Many women reading this are eager to try it, they think","Many women reading this are excited to give it a try,","Many women reading this are excited to try it, believing their"
632,Chronic hypersensitivity pneumonitis could be caused by memory,I was diagnosed with Sheehans Syndrome almost 14 years after,nan,nan,nan,nan
633, dear sirmadam i am interested about second hand smoking,"My father, my daughter, my son and my granddaughter also",nan,nan,nan,nan
634,The vet said to call you and check about this. are,Are these two plants considered toxic to pets? The vet said,Are these two plants considered poisonous to pets? The vet said,Are these two plants considered toxic to pets? The vet said,Are these two plants toxic to pets? Your veterinarian recommends calling,Are these two plants considered poisonous to pets? The vet said
635,i would like to know if zolmitriptan tablets,I would like to know if Zolmitriptan tablets,I would like to know if zolmitriptan tablets,nan,I would like to know if zolmitriptan tablets,nan
636,What is the significance of keeping my daily fluid intake at 2,"""I was diagnosed with heart failure. what is the importance",What is the importance of keeping my daily fluid intake at 2,How important is it to maintain your daily fluid intake at 2,"""What is the point of maintaining a 2 liter fluid intake",I have been diagnosed with congestive heart failure. What is
637,My daughter has menkes syndrome and would like to know how,"""I have a stiff neck that won't go away""",nan,nan,nan,nan
638,My husband 89 has been unable to urinate for 11 hours,"My husband, 89, has been unable to urinate for",My 89 year old husband hasn't been able to urinate,My 89 year old husband has not been able to urinate,My husband is 89 and has not been able to urinate,My 89 year old husband has not been able to urinate
639,i took a magnesium pill but without the pill i poured it,"""I have longed for divine intervention to restore my sense",nan,nan,nan,nan
640,My mother is suffering from ulceratice colitis from,My mother has been suffering from this disease for 3 years.,My mother has been suffering from ulcerative colitis for,My mother has been suffering from ulcerative colitis for,My mother has been suffering from ulcerative colitis for,My mother is suffering from this disease for 3 years and her
641,i just want to ask if i can take glutathione,I live with lupus and just want to ask if,i live with lupus and i just wanted to ask,I live with Lupus. I just want to ask if,I have lupus and I just wanted to ask if,I just want to ask if I can take a glutath
642,My dear friend got into a car accident in that car accident,My friend Name is 25 years old and currently lives in Algeria,My friend was paralyzed from the waist down in a car accident,Name is 25 years old and he currently lives in Algeria.,My friend was paralyzed from the waist down in a car accident,My friend Name was paralyzed from the waist down in a car
643,Should i remove the pessary while doing kegel exercises,Lately I have noticed a worsening of the prolapse during,I have been using a pessary for several years and,I have been using a pessary for several years and,My prolapse has worsened during and after certain exercises so I,nan
644, wolfram syndrome hi im a support worker for a 46 yr,Many of the symptoms match him. Can adults develop this syndrome,Wolfram syndrome matches many of the symptoms of type 1 diabetes,I am a support worker for a 46 year old autistic male,Wolfram syndrome is a rare form of autism. It is,Wolfram Syndrome very much matches the symptoms of type 1 diabetes
645, i have had a hysterectomy and now i,I'm doing a research paper on sudden cardiac arrest in adolescence,nan,nan,nan,nan
646,My mother is 76 yo and having a lot of pain in,My mother is 76 years old and has severe pain in her,My mother is 76 years old and has a lot of pain,My mother is 76 and has a lot of pain in her,My mother is 76 years old and has severe pain in her,My mother is 76 years old and has a lot of pain
647,i have read on your website about the perirenal abs,I read about perirenal abscess on your website.,I would really appreciate a recommendation on where she could get treatment,nan,My mother is in the situation described here. I really appreciate,My mother is in the situation stipulated here. I would
648,i am a woman aged 59 and had triple heart bypass in,i am 5ft 1in tall and weigh nearly 100kg,I am a 59 year old female and had a triple heart,I am a 59 year old female and had a triple bypass,I am a 59 year old female who had a triple bypass,I am a 59 year old female and had a triple heart
649,i am a high school student currently in a science class called,High school student wants to know more about genetically modified foods.,I am a high school student currently taking a science course called,High school student wants to know more about genetically modified foods.,nan,I am a high school student and I am currently in a
650,i had a gi doc diagnose me with candida in,A gastroenterologist diagnosed me with Candida in my es,"""I can't find anything online about it, just thr",A gastroenterologist diagnosed me with candidiasis in my es,I had a gastroenterologist diagnose me with esophage,A gastroenterologist diagnosed me with candida in my es
651,My father passed away from a some type of kidney cancer and,i have a 13 year old brother who is autistic and has,i have a 13 year old brother who is autistic and p,i have a 13 year old brother who is autistic and p,i want to know if this pten gene is present in,nan
652,When doing a blood test how long does it take for the,"When my son was diagnosed, I was told there was nothing",nan,nan,nan,nan
653,Could you send me a diet plan for patients suffering from both,Could you send me a diet plan for patients with cholesterol and,Could you please send me a diet plan for patients who are,Could you send me a diet plan for patients with both cholesterol,Diet plan for patients suffering from cholesterol and diabetes.,Dear sirmadam could you please send me a diet
654,i am trying to get travel insurance and the insurance company dont,I am trying to get travel insurance but the insurance company does,I am trying to get travel insurance and the insurance company does,I am trying to get travel insurance and the insurance company does,I am trying to buy travel insurance but the insurance company does,I am trying to get travel insurance and the insurance company does
655,i have a big problem of bloating and now its 2,How can I tell if I've had chickenpox or not,nan,nan,nan,nan
656,My husband had a simple retropubic prostectomy.,Achondroplasia is a genetic disease. Can,nan,nan,nan,nan
657,How appendix problems affect people in the genetic family. how appendix,I want more information about high blood pressure and fibromyalgia,nan,nan,nan,nan
658,i have been diagnosed with this and had cat scan with and,My son has been diagnosed with an inversion of the long,nan,nan,nan,nan
659,I had the scm muscle removed as well as the par,I had the SCM muscle removed as well as the par,10 years ago i had surgery for thyroid cancer. Had a,I had the SCM muscle removed as well as the par,I had surgery 10 years ago for thyroid cancer. I have,I had this surgery 10 years ago as a result of thyroid
