,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
485,hi im 40 years old male i was suffering from social anxiety since,40-year-old suffers from social anxiety since childhood .,I'm a 40 year old male I suffer from social anxiety,40-year-old has suffered from social anxiety since childhood .,40-year-old male suffers from social anxiety since childhood ,40-year-old male suffers from social anxiety since childhood 
486,my drs have me on lisinopri,nan,nan,nan,nan,nan
487,is this generic for of nexium produced gluten free i,is this generic for Nexium made gluten free I am celia,I am celiac and need to check all my medications ,i am celiac and need to check all my medications,I have celiac disease and have to check all my ,is this Nexium generic produced gluten free? I am celia
488,are there any skin creams that have positive effects on skin cancer 1,are there skin creams that have a positive effect on skin cancer,nan,are there any skin creams that have positive effects on skin cancer 1,are there any skin creams that have a positive effect on skin,are there any skin creams that have positive effects on skin cancer 1
489,neuroaid appears claiming to restore function to my knowledge it isn,neuroaid keeps popping up that claims to restore function . neuroaid,neuroAid seems to claim to restore function to my knowledge it,nan,neuroaid claims to restore function from what I understand it is not approved,nan
490,mmr vaccine i was born in 1942 never had the 10,a recent blood test showed that I am not immune to rubella,a recent blood test indicated that I am not immune to rubella,a recent blood test indicated that I am not immune to rubella,blood tests have shown that I am not immune to rubella .,a recent blood test indicated that I am not immune to rubella
491,hi im having some difficulties with tongue and throat infection i contacted,he gave me dactarine to put on my tongue,i am having some difficulty with a tongue and throat infection ,he gave me dactarine to put on my tongue,nan,he gave me dactarine to put on my tongue
492,does bardetbiedl cause your teeth to decay faster than,Does Bardetbiedl Syndrome Cause Your Teeth to Dec,does Bardetbiedl syndrome cause tooth decay faster than other,does bardetbiedl syndrome cause teeth to decay faster than,nan,does Bardetbiedl syndrome cause your teeth to decay faster
493,i have one son name name date of birth datenow 5 year,nan,nan,nan,nan,nan
494,microfracture surgery can happen if no physical therapy is prescribed ,microfracture surgery can happen if physical therapy is not prescribed ,microfracture surgery can happen if I was not prescribed any physical,microfracture surgery can happen if no physical therapy is prescribed ,i had microfracture surgery a month ago and have not,nan
495,i am having parkinson for last 8 years so far it,"I have been suffering from Parkinson's for 8 years, until now","parkinson's has been around for 8 years, so far","I have Parkinson's disease for 8 years, until now it was",I have had Parkinson’s for 8 years and so far I only,I am having Parkinson's for last 8 years till now it was
496,i have a history of peptic ulcers so ,I have a history of stomach ulcers so I don't,nan,"I have a history of gastroduodenal ulcers,",I have a history of peptic ulcers so I don,"I have a history of peptic ulcers, so I"
497,i have recovered 95 because i am still sensitive in my back,shingles in my mid 50s started on one side and appeared on,"shingles affect the gum nerves, gum tissue and bone .","shingles affect your nerves, gum tissue and bone? is there","shingles in my 50s, first on one side then on both",shingles affect the nerve tissue of the gums and gum bones 
498,polands syndrome i cannot find it anywhere in the world .,"Poland Syndrome, I have Poland Syndrome and can't find it anywhere",nan,nan,nan,nan
499,if u have a gfr of 2016 ,"if you have a GFR of 2016, does that mean 20",if you have a 2016 gfr does that mean,nan,if your gfr is 2016 does that mean 20 or,if you have a GFR of 2016 that means 20 or
500,my mother is aged around 50 yearss she has a ke,nan,nan,nan,nan,nan
501,colon cancer was successfully treated with colon resection in 2012 .,colon cancer was successfully treated with a colon resection .,hepatitis b cure i am a caregiver,hepatitis b was diagnosed with colon cancer in 2012,former doctor told us there is an approved drug that can cure Hepati,hepatitis b is a caregiver for a
502,i want to make sure what kind of gelatin is used at,I want to make sure what kind of gelatin is used in vitamin,I would like to know what kind of gelatin is used for vitamin,i would like to know what type of gelatin is used in,i want to confirm what gelatin is used for vitamin d,nan
503,if there is a side affect from taking mestin,nan,nan,nan,nan,nan
504,hi i am wondering if anyone can help me get my voice,I have ALS in my throat and don't want to be,hi i was wondering if anyone can help me get my voice,I have ALS in my throat and don't want to go,I have muscular atrophy in my throat and don’t want to,I have ALS in my throat and don't want to go
505,my provider cant help i asked i am intolerant of,"my provider can't help, I asked, I am intolerant","my doctor can't help me, i asked because i",biotene products help me for only about two minutes . ,the biotene product takes about two minutes to take . it,biotene products only help for about two minutes .
506,sir and madame are looking very urgently for help ,a year ago I got a mutation of the pch,a year ago I got sick with a mutation of the PC,a year ago I fell ill with Gorlin-Go,"my name is from germany, my condition has worsened",my name is Germany location 25 years old one year ago I got sick
507,madam sir is looking for clinical studies on hep ,nan,nan,nan,nan,nan
508,genetic condition passed on from mother female children are carriers but only male children,genetic disorder inherited from the mother causes excessive spitting and ,genetic condition passed down from mother female children are carriers but only male children,i have lost two boys and am about to have a third,"inherited from the mother, girls are carriers but only boys have symptoms",a genetic condition passed down from the mother is often mistaken for
509,can u please advise me what year letrozole was first,letrozole was not given this tablet after breast surgery in 2007,letrozole was first used on the market as I was not,letrozole was first used on the market in 2007 .,letrozole was first introduced to the market in 2007 .,letrozole was first used on the market after breast surgery in
510,i started taking phentermine about 3 years ago for weight,phentermine helps my arthritis pain significantly . my doctor has,i started taking phentermine about 3 years ago to lose,i started taking phentermine about 3 years ago to lose,my doctor has asked me to stop taking phentermine because ,i started taking phentermine about 3 years ago for weight
511,customer service request is looking for information and treatment for ledderhose disease,customer service request I am looking for current information and treatment options .,customer support request I am looking for information and recent treatments for Led,customer service request is looking for information and treatments for plantar fibromato,customer service request I am interested in a doctor who specializes in,customer service request I am looking for the latest information and treatment .
512,received instructions from the fda in using this site to find,antidepressant does not contain soy in any ingredient .,antidepressant does not contain soy in any ingredients .,the FDA has instructed me to use this site to find an antide,"antidepressants do not contain soy, no products found,",the FDA instructed me to use this site to find an antidepress
513,my age father said he will take whatever he is not on,nan,nan,nan,nan,nan
514,hi my father has lost his hearing in one ear and is there,my father has lost hearing in one ear and has been suffering from,nan,my father lost hearing in one ear and has been suffering from constant,my father lost his hearing in one ear and has had a,my father has lost hearing in one ear and has been suffering from
515,my sister has been told that she has breast cancer and i want,nan,nan,nan,nan,nan
516,i lost 24 lbs do you have an exercise i can,i have lost 24 pounds and have lost a total of 24,"i lost 24 pounds, do you have an exercise I can do",nan,"i have lost 24 pounds, is there any exercise that can correct",do you have any exercises I can do to correct my herni
517,botox is useful in treating someone who had a stroke and,botox is helpful in treating a patient who has had ,botox is useful in treating a person who had a,botox is helpful in treating someone who had a stroke ,botox would be useful for treating someone who has paralysis in,botox is useful to treat someone who had a stroke and
518,internet search only comes up with cancer i realize that my case is,an internet search only brings up cancer . my case is not addressed,internet searches only bring up cancer . I can't find any,i have had it in the past and suspect I may have it,"I can't find any information on the causes, symptoms, treatment",I have had it in the past and suspect I may have it again
519,tennitis or ringing in the ear ,ringing in the ear is the latest news about Tenn,tennitis or ringing in the ears is the,nan,nan,tennitis or ringing in the ear is
520,aortic valve replacement surgery miavr is minimally,nan,nan,nan,nan,nan
521,lipoma has returned to the right forearm .,nan,nan,nan,nan,nan
522,i have this stroke and am aiming for knowledge if at,my thalamic lacunar stroke is available for your study,nan,nan,"if possible, I would like to know about my thala",nan
523,my sister in law has just been diagnosed with a trisomy,trisomy 13 was diagnosed with a mosaic child with trisom,trisomy 13 I had a newborn with a mosaic tri,trisomy 13 mosaic i had a baby with trisom,my sister-in-law has just been diagnosed with trisomy,my sister in law has just been diagnosed with a trisomy
524,i have foot drop for damage to the common peroneal nerve,foot drop due to damage to common peroneal nerve caused by knee,hi i have foot drop due to common peroneal nerve damage,i have foot drop due to common peroneal nerve injury from,foot drop due to damage to common peroneal nerve from knee surgery,foot drop due to damage to common peroneal nerve caused by knee
525,my alt is 45 ast is 56 what is best way or test,nan,nan,nan,nan,nan
526,dr has suggested stiloz50i also take ker,"my body weight is 66, in the morning it varies between",nan,i am diabetic since 18 years and currently it is 66,diabetes sufferer has been suffering from diabetes for 18 years . ,diabetic since 18 years and currently i am 66 .
527,loss of ear pressure is it possible to lose more in one ,is it possible for ear pressure to decrease more in one ear,loss of ear pressure it is possible to lose more in one ,it is possible to lose more ear pressure in one ear than,nan,is it possible to lose more pressure in one ear than the other
528,thrush article may i over read the article but i,nan,nan,nan,nan,nan
529,my right shoulder is getting pain and my right hand is not moving up,nan,nan,nan,nan,nan
530,my husband has blood pressure of 247 in one arm and 170,nan,nan,nan,nan,nan
531,i had my prostate removed by surgery because of cancer several years ago,I had my prostate removed several years ago because of cancer . I,i had my prostate surgically removed due to cancer several years ago,i had prostate surgery removed due to cancer several years ago .,i had a prostatectomy a few years ago due,my prostate was removed by surgery due to cancer several years ago .
532,husband has had 3 strokes since 1990 he refuses to take,husband has had three strokes since 1990 and refuses to take any,husband has had 3 strokes since 1990 and refuses to continue with,"husband has had 3 strokes since 1990, he refuses to",Husband has had 3 strokes since 1990 and refuses any maintenance,"Husband has had 3 strokes since 1990, refuses to take"
533,the body would be severely weak and after viral infection body does not return,can you please tell me why the body is so weakened and does,could you please tell me why the body would be severely weak and after,nan,nan,could you tell me why the body is so weak and after a
534,my father passed away date hospice helped our family with his passing and offered,my father died the day of his death . the hospice helped our,"my father passed away, the date hospice helped our family with his passing","my father passed away, palliative care helped our family when",my father passed away on the date that Hospice helped our family through his,the hospice helped our family with his passing and offered us counseling which at
535,do high thyroid level 3113 interfere with recovery i just had double,a high thyroid hormone level of 3113 affects recovery .,will a high thyroid 3113 interfere with recovery? I just had,do a high thyroid level 3113 interfere with recovery? .,can high thyroid hormone levels of 3113 affect recovery? ts,high thyroid level 3113 interferes with recovery of muscle tissue and bones
536,i was wondering about the central venous catheters ports and,my grandmother is undergoing dialysis treatment and a few days,my grandmother is on dialysis treatments and hers burst,my grandmother is on dialysis and hers burst ,my grandma is on dialysis and her port burs,my grandmother takes dialysis treatments and hers burst 
537,i want to know if this is a congenital,if this is a congenital condition that could affect future,in our family line there are three children with different genetic disorders .,if this is a congenital disease that could affect future,"one has Down syndrome, one has Wolf-Hirshhorn",if this is a congenital condition that could affect future
538,for the last 2 years i have suffered with scalp ps,I have been suffering from psoriasis on my,i have been suffering from psoriasis on,for 2 years I have been suffering from scalp psoria,cosmetologist is embarrassed to let a coworker cut,for the past 2 years I have suffered with psoria
539,can you tell me if this drug is gluten free pmshydr,PMShydrochlorothiazide is a gluten,can you tell me if this medicine is gluten free pmsi,can you tell me if this medicine is gluten free pmshydr,pmshydrochlorothiazide is a gluten,can you tell me if this medicine is gluten free? pms
540,broken veins in legs is vein surgery for mostly cosmetic reasons recommended any,vein surgery is recommended for mostly cosmetic reasons all dangers serious side effects,nan,"vein surgery is recommended for cosmetic reasons . no danger, serious side",vein surgery is mainly recommended for cosmetic reasons .,broken leg veins are a vein surgery that is recommended for cosmetic
541,i was recently diagnosed with lupus a few months,levofloxacin is in the quinolone family,levofloxacin is a quinolone drug,lupus is in the quinolone family .,nan,lupus was diagnosed with levofloxacin 
542,garcinia cambodia in the usa and elsewhere plenty of,"in the us and elsewhere, there are numerous advertisements promoting the extract",nan,nan,"extracts from this plant, Garcinia Cambogia Cambodia, can fight","there are many additions promoting the extract of this plant, Cambodia"
543,aunt is having pain not relieved by tyleno,aunt is taking the following medications and has pain that is not relieved,aunt is taking the following medications and has pain that is not being relieve,aunt has pain that is not relieved by tylen,aunt is taking the following medications but the pain is not relieved by,aunt is taking the following medications and has pain that is not relieved
544,the left side of my body will start to do strange things when lifting,nan,nan,nan,nan,nan
545,who is a certified opt in or near the nashville,"who is a certified opt doctor in or near Nashville, TN",who is a certified opt in or near nashville ,board certified opt in or near the Nashville TN area who performs,certified selector in or near the Nashville TN area who can do,board certified doctor performs strabismus surgery in or near the
546,i have rash on the skin of the scrot,what could be the cause and how do I treat it?PA,"rash on my scrotum skin, what could cause","rash on my scrotal skin, what is the cause","rash on my scrotal skin, what is causing",rash on the skin of my scrotum .
547,if there are any special mixing precautions associated with fomep,can you tell me if there are any special mixing precautions related,can you tell me if there are any special mixing precautions associated,nan,nan,can you please tell me if there are any special precautions associated
548,tests for haemophilia hi i was wondering ,blood clotting tests for haemophilia are called,hemophilia test hi i was wondering if blood ,hemophilia tests hello i was wondering if blood ,blood clotting tests are always positive if you have mild or,tests for hemophilia hi i was wondering if blood
549,lamisil 1oo cream betamethasonen cream,fungal infection on both legs remains the same . despite all,i have a fungal infection on both legs which i,"lamisil 1oo cream, betamethasone cream","fungus is still not getting better, can anyone recommend me which",fungal infections still same antifungal drugs or unintentional
550,trigem neuralgia i had an episode with the,nan,nan,nan,nan,nan
551,can u give me more information about physiotherapy for patient with,can you give me more information about physiotherapy for patients with acute,can you give me more information about physiotherapy for acute stroke patients,can you give me more information about physiotherapy for acute stroke patients,nan,can you give me more information about physical therapy for the acute stroke 
552,i have a daughter of 11 years with type 1 diabetes ,nan,nan,nan,nan,nan
553,puerto rico vacationing in and near location how to,recommandation for holidays in and near Puerto Rico .,reference on vacation in and near puerto rico locations how,reference vacations in puerto rico and nearby how to,Recommended Vacations Near Puerto Rico How to Find a Dentist,Vacation Reference in and around Puerto Rico . How to Find a
554,my baby has ocular albinism can you please help me,my baby has ocular albinism . can you please,"my baby has ocular albinism, can you help me",my baby has ocular albinism can you help me or,my baby has ocular albinism can you help me or,4-month-old baby has ocular albinism .
555,clinicaltrialsgov error found in a study dear all ,clinicalTrialsgov error found in a study . my mother,clinicaltrialsgov error found in a study dear all my,"clinicaltrialsgov error found in a study Dear all,",clinicaltrialsgov found errors in the study Dear everyone My name,clinicaltrialsgov error found in a study Dear all 
556,what does a positive mrsa by pc,"can I still have surgery, am I contagiousPAD",can I still have surgery? am I contagious?,a positive MRSA by PCR means can I still have my,can I still have surgery? am I contagious?,can I still have the surgery? am I contagious?
557,im a mother of a 13 year old girl diagnosed with end,13-year-old girl was diagnosed with endometrios,13-year-old girl was diagnosed with endometrios,13-year-old girl was diagnosed with endometritis,she was diagnosed with endometriosis when she was 12,13 year old girl has been diagnosed with endometriosis
558,intraductal papillary mucinous neo,I am interested in treatments for intraductal papillary m,intraductal papillary mucinous neo,nan,I am interested in learning about the treatment of intraductal papillar,I am interested in learning about treatments for intraductal papillary
559,my wife has doparesponsive dystonia dyt,my wife has doparesponsive dystonia DYT 5,my wife has DYT 5 dopa responsive dystonia,my wife has doparesactive dystonia DYT,my wife has dopa responsive dystonia dyt,my wife has DYT 5 doparesceptive dys
560,letrozole is also prescribed for young women trying to conce,a cyst in front of my right ovary needs to be,letrozole has a 4cm cyst in front of,letrozole has a 4cm cyst in front of,I have a 4 cm cyst on the front of my right ,letrozole has a 4cm cyst in front of
561,i have done what you told me breath through nose then let it,my doctor checked my heart and lungs with his stetho,im constantly out of breath my doctor checked my heart and lungs with,i am constantly out of breath doing simple tasks around the house ,the doctor checked my heart and lungs with a steth,my doctor checked my heart and lungs with his stetho
562,period rashes proceed to vaginal itching then it develop,antifungal drug flucanazole cures vaginal it,menstrual cycle rashes proceed with vaginal itching,menstrual rashes turn into vaginal itching then,the menstrual rash triggers vaginal itching which,period rashes proceed to vaginal itching and then develop
563,i tested positive for amphetamine but do not use drugs,I tested positive for amphetamines but don't take,I tested positive for amphetamine but don't do drugs,I tested positive for amphetamine but don't use drugs,I tested positive for amphetamines but I am not on,"I tested positive for amphetamines, but I don'"
564,my fatherinlaw died recently after his small intestine died ,father-in-law recently died after his small intestine died,father in law recently passed away after his small intestine died ,father in law recently passed away after his small intestine died ,nan,father-in-law recently died after his small intestine died
565,her sister was diagnosed with meningitis 13 years ago .,my sister was diagnosed with meningitis 13 years ago .,my sister was diagnosed with meningitis 13 years ago and lost,my sister was diagnosed with meningitis 13 years ago .,my sister was diagnosed with meningitis 13 years ago .,my sister was diagnosed with meningitis 13 years ago .
566,irregular bowl movements problems affect my work and or sex life ,nan,nan,nan,nan,nan
567,had 2nd injection in march lots of random side effects had heart ,"heart was ruled out, waiting for esophageal",nan,"I had a 2nd injection in march, lots of random side",nan,nan
568,i have been having bm two or three times a,nan,nan,nan,nan,nan
569,hi in first pregnancy i had a fetus,in my first pregnancy I had a fetus with,in the first pregnancy i had a fetus,in my first pregnancy I had a fetus with,a fetus with diaphragmatic her,in my first pregnancy I had a fetus with
570,vamousse head lice treatment claims kills 100 lice and eggs ,vamousse head lice treatment's claim to kill 100 lice and,vamousse head lice treatment claims to kill 100 lice and eggs ,Vamousse head lice treatment claims to kill 100 lice and eggs ,Vamousse head lice treatment product claims to kill 100 lice and lice,vamousse lice treatment claims to kill 100 lice and eggs .
571,is tamsulosin gluten free and where is,is tamsulosin gluten free and where is,nan,gluten free is tamsulosin gluten free and,is tamsulosin gluten free? Where is,tamsulosin is gluten free and where is
572,i had an accident on my left eye when a ball ,"the eye was blood-stained, the retina detached and another operation",i had an accident in my left eye when a ball hit,i had an accident in my left eye when a bullet ,"in 1996 a ball fell off the lens, until then a",nan
573,i received substantial injuries to my head slight concussions,a subdural hematoma on the left side ,nan,i was in an abusive relationship both verbal and physical during this,neurosurgeon didn’t have to do brain surgery because my eye,a neurosurgeon didn't have to do brain surgery as
574,herbs and nutritional supplements have been associated with kidney injury . herbs and,herbs and supplements linked to kidney damage .,herbs and dietary supplements linked to kidney damage . list of herbs,herbs and nutritional supplements linked to kidney damage . list of herbs and,herbal and nutritional supplements linked to kidney damage I need a list of,nan
575,is there something available in english or spanish about phisi,nan,nan,nan,nan,nan
576,i have some questions about enlarge prostate my bf,my boyfriend has this and has tried different pills and now he only,i have some questions about prostate enlargement my boyfriend has this,my boyfriend has it and now he is only on one type of,nan,enlarged prostate my boyfriend has tried different pills and now he has
577,cinca sindrome is where the treatment of the c,nan,nan,nan,nan,nan
578,whipples disease is fatal if left untreated . there,your information on Whipple's disease says it is fatal ,Whipple's disease is fatal if not cared for,your information on Whipples disease states that it is fatal if,Whipple's disease is fatal if not treated .,your information on Whipples disease says it is fatal if left
579,dear medlinepus started to fly at the age of 15 and,the problem is that my binocular vision is not good enough ,dear medlinepus started flying at the age of 15 and have,my binocular vision is not good enough and the ophthal,nan,my binocular vision is not good enough and the ophthal
580,facioscapulohumeral muscular dystrophy my,facioscapulohumeral muscular dystrophy is,facioscapulohumeral muscular dystrophy my,facioscapulohumeral muscular dystrophy my,nan,my 22 year old grandson has facioscapulohum
581,ndc 00527172874 topical cocaine topic,nan,nan,nan,nan,nan
582,most rash started on rt arm hip 3 on stomack,nan,nan,nan,nan,nan
583,serratia marcescens contracted the bacteria in a leg,serratia marcescens has been infected with the,serratia marcescens bacterium contracted in a,nan,"gentamicin has been used, in addition to other antibiotic",nan
584,blood tests showing very low number of blood platelets 16100 .,blood tests show very low platelet count (16100) no cancer cells,blood tests show very low platelet count in blood 16100 .,blood tests show very low blood platelet count 16100 as per further,"my blood test showed very low platelet count of 16100, according",blood tests show very low blood platelet count 16100 as per further
585,tea tree oil is identified on a product as fragrance . my,tea tree oil is labeled as a fragrance on a,tea tree oil is identified on a product as a fragrance ,nan,tea tree oil is identified as a fragrance on the product .,tea tree oil is identified in a product as fragrance . my
586,relative has type 2 diabetes we want to know if therere any,all the antidiabetic drugs prescribed made her worse .,nan,"a relative has type 2 diabetes, we want to know if",a relative has type 2 diabetes and we are wondering if there,all the anti-diabetic medications she has been prescribed
587,at night i have very bad lower leg skin itching is this,nan,nan,nan,nan,nan
588,rosuvastatin crestor is broken down by the,Rosuvastatin Crestor is broken down by the body in,nan,nan,pomegranate juice may slow down how quickly the liver breaks,nan
589,qeeg heg tms topa,migraine appears to be a spectrum of disorders rather than just,qeeg heg tms topa,nan,migraines seem to be a range of conditions rather than one,migraine appears to be a spectrum of conditions rather than 
590,stiff person syndrome i have severe cramps in my feet which are,"severe cramps in my feet, which twist into an arch .","stiff person syndrome affects my back, neck and larynx",stiff person syndrome has severe cramps in my feet that twist in an,"my feet cramp badly and twist into an arc, the muscle spa","my back, neck and larynx are also affected and my"
591,melanoma the doctor wants my father to take interfer,the doctor wants my father to take interferon alfa2,melanoma the doctor wants my father to take interfer,melanoma the doctor wants my father to take interfer,doctors want my father to take interferon alfa2b,the doctor wants my father to take interferon alfa2
592,my wife suffers from ms since 1991 where the base is,my wife has been suffering from MS since 1991 . the cause is,"my wife has been suffering from MS since 1991, the basis of which",my wife has had multiple sclerosis since 1991 . she has,"my wife has had MS since 1991, the basis of which is only","my wife has suffered from MS since 1991, where the basis is only"
593,duchenne muscular dystrophy is a genetic disease .,duchenne Muscular Dystrophy is a genetic disease,duchenne Muscular Dystrophy is a genetic disease,duchenne muscular dystrophy research project on genetic disease .,duchenne Muscular Dystrophy is a genetic disease,duchenne Muscular Dystrophy is a genetic disease
594,i had the lap band but i just gain the weight back,nan,nan,nan,nan,nan
595,my dear friend name 52 years location recently had both legs amputated,nan,nan,nan,nan,nan
596,if my doctor gives prescription for inderal 40 mg twice ,is 40 mg twice daily a constant 40 mg or is the dose,if my doctor prescribes Inderal 40 mg twice a,if my doctor gives me a prescription for 40 mg inder,if my doctor prescribes me inderal 40 mg twice ,if my doctor gives me prescription for inderal 40mg
597,the test was cancelled because his kidneys werent as they should be,blood test showed his kidneys were not what they should be .,my husband took a bottle of this berry smoothie flavored bar,nan,my husband took a bottle of berry smoothie flavored barium,nan
598,my daughter was recently diagnosed with a ctnnb,nan,nan,nan,nan,nan
599,i am 32 yrs old 56 ft and,for several months I have had erection problems during intercourse,for a few months I have had erection problems during,my testicles feel pain if I do not eja,a few months ago I started having erection related problems,"I have erection problems during sexual intercourse, when I"
600,my wife is able to spend a great deal of time with,my wife's father suffers from the terrible disease Alzheimer's,my wife's father is dealing with the nasty disease of Alzheimer',my wife's father is battling the nasty Alzheimer's disease,my wife's father is dealing with the horrible disease of Alzheimer',our family and my wife's father are dealing with the horrible Alzheimer
601,pallido ponto nigral degeneration is a rare,I suffer from a rare tau aggregation disease called Pal,pallidopontonigral degeneration is a rare tau,pallidopontonigral degeneration is a rare tau,pallid pontine nigral degeneration is a rare tau,nan
602,haglunds deformity of the calcaneum,nan,nan,nan,nan,nan
603,im a mother of 5 children my son has leukemia and,"my son, the youngest, has leukemia . my daughter","my son has leukemia, the youngest is my son he","my son has leukemia who is the youngest, my daughter is","a mother of 5 children, my son has leukemia,","my son has leukemia, who is the youngest? my daughter"
604,i have not been able to find this information on c,how long after receiving the tetanus vaccine is ,a patient has immunity after a tetanus,a patient has immunity after tetanus vaccine is,how long does it take for a person to become immune after receiving,a patient has immunity after tetanus vaccination 
605,my mom is 82 years old suffering from anixity and depression,nan,nan,nan,nan,nan
606,i had sex a couple of days after my period,the story is that I had sex a few days after,nan,the story is I had sex a few days after my,my story is that I had sex a few days after,the story is that I had sex a couple of days
607,huntingtons disease could be infectious for example can you be infected,a few drops of blood accidentally splashed on my face ,nan,a mouse model with Huntington's disease could be contag,a mouse model of Huntington's disease accidentally splashed,a few drops of blood accidentally splashed on my face 
608,my teeth gum blood comeing what medicine i use . my,"my gums are bleeding, which medicine should I takePAD",my teeth gums blood what medicine do i usePAD,"my teeth and gums are bleeding, what medicine should i use",nan,blood from my teeth gum comes what medicine do I use Pad
609,bronchiectasis colonised psa,nan,nan,nan,nan,nan
610,my aunty has a kidney disease and wants to use a,my aunt has kidney disease and wants to use a product that contains,my aunt has kidney disease and wants to use a product that contains,my aunt has kidney disease and wants to use a product that contains,aunt has kidney disease . Is it okay for her to use,nan
611,are jumping genestransposons associated with lynch syndrome name .,nan,nan,nan,nan,nan
612,is tdm1 drug can be used to improve immune to,nan,nan,nan,nan,nan
613,starch is gluten free is it safe for someone with celia,starch is gluten free? is it safe for someone with celi,starch is gluten free? is it safe for celiac,"starch is gluten free, is it safe for someone with celi",nan,starch is one of the ingredients? is it gluten-free?
614,metformin is a prescription medicine that i can take to,nan,nan,nan,nan,nan
615,chickenpox is there a blood test available to tell me,don't know if I've had chickenpox,don't know if I've had chickenpox,I don't know if I've had chickenpo,don't know if I've had chickenpox,is there a blood test available to tell if chickenpo
616,where can i buy topical gabapentin cream do,nan,nan,nan,nan,nan
617,the ring finger in the splint is out but stiff,nan,nan,nan,nan,nan
618,i am 9 years post bleed stroke and still can not use,nan,nan,nan,nan,nan
619,can you please tell me if the product xout washin,can you please tell me if the product Xout Washin,can you tell me if the product xout washin treatment,can you please tell me if the product xout washin,xout washin treatment benzoyl peroxide gel,xout washin treatment benzoyl peroxide gel
620,cypress pharmaceuticals is going out of business and will no,Cypress Pharmaceuticals is going out of business and will not be ,from next month it will no longer be able to provide me with,Cypress Pharmaceuticals will no longer be able to supply me with,Cypress Pharmaceuticals will no longer be able to provide me with,"from my pharmacy, I just found out that Cypress Pharmaceuticals is"
621,i wish a rheumatologist at n,nan,nan,nan,nan,nan
622,paediatric and geatational nutrition i want detail information,nan,nan,nan,nan,nan
623,daughter in law with glioblastoma she just finished,nan,nan,nan,nan,nan
624,when can i wash my hair i have shingles in my,nan,nan,nan,nan,nan
625,perneuropathy mild nerve pain to sole of feet 1989 .,"in 1989 I was diagnosed with perineal neuropathy, mild nerve",nan,I was diagnosed with mild neuropathy and nerve pain in the soles,I was diagnosed with perineuropathy in 1989 and had mild nerve,I was diagnosed with mild nerve pain from perneuropathy to sole
626,hitiala hernia needs to be removed .,my hernia needs to be removed . how long will,hospital admission for removal of a Hitiala hernia,nan,a hernia needs to be removed . how long,a hernia needs to be removed from Hitiala
627,sir i m hasitate during talking for example name ,nan,nan,nan,nan,nan
628,there is a lot of collection its good but i dont find,"there is a lot of collection, it is good, but I","there is a lot of collection, it is good but i",there are many collection it's good but i can't,nan,I want to know about male reproductive system .
629,i have a 6 inches difference between my left humer,bone cyst first affected my right femur and then my left,bones were very fragile in the mentioned areas and I broke them many times,i have a 6 inch difference between my left humer,bone cysts affect my right femur and then my left,i have a 6 inch difference between my left and right 
630,the joints or bones in my hands hurt sharply when working cooking ,the joints or bones in my hands hurt a lot when I cook,the joints or bones in my hands hurt a lot when I cook,the joints or bones in my hands hurt a lot when I cook,I get severe pain in the joints or bones of my hands when I,the joints or bones in my hands hurt a lot when I work
631,dr oz some of us just know we cannot take,many women reading this are excited to try it they think their fat bell,many women reading this are excited to try it they think their fat bell,many women reading this think their obese belly from diabetes could disappear .,"many women reading this are excited to give it a try, they",many women reading this believe their diabetes-fat bellies could disappear 
632,memory foam mattress could cause chronic hypersensitivity pneumonitis .,nan,nan,nan,nan,nan
633,sirmadam i am interested in second hand smoking and the,nan,nan,nan,nan,nan
634,are these two plants considered poisonous to pets the vet said to call,are these two plants considered toxic to pets? the vet said I should,are these two plants considered poisonous to pets? the vet said to,are these two plants considered toxic to pets? the vet said to check,Are these two plants toxic to pets? Your veterinarian recommends calling to,are these two plants considered poisonous to pets? the vet said to
635,zolmitriptan tablets contain wheat rye or bar,Zolmitriptan tablets and orodispersible tablets,"zolmitriptan tablets contain wheat, rye or",nan,"zolmitriptan tablets contain wheat, rye or",nan
636,i have been diagnosed with congestive heart failure thanks to keeping,what is the importance of keeping my daily fluid intake at 2 liter,i have been diagnosed with congestive heart failure thanks to ,how important is it to maintain my daily fluid intake at 2 liter,I have been diagnosed with congestive heart failure .,I have been diagnosed with congestive heart failure .
637,my daughter has menkes syndrome and would like to know how to go,nan,nan,nan,nan,nan
638,husband 89 has been unable to urinate for 11 hours,"my husband, 89, has been unable to urinate",my 89-year-old husband hasn't been ,my 89-year-old husband has not been able to,my husband is 89 and has not been able to ur,my 89-year-old husband has not been able to
639,i took a magnesium pill but without the pill i ,nan,nan,nan,nan,nan
640,i am writing this mail from location this in regards with seeking help,ulcerative colitis has been going on for a year and ,my mother has been suffering from ulcerative colitis for 3 years ,ulcerative colitis my mother has been suffering from this disease for 3,ulcerative colitis is a rare condition that can cause ulcerative,my mother is suffering from ulcerative colitis for 3 years .
641,im living with lupus i just want to ask ,I live with lupus and want to ask if I,lupus has been taking glutathione supplement since march,I already finished my chemotherapy last month . I stopped the steroids after,glutathione supplements I finished chemo last month and am,I live with lupus . I already completed my chemotherapy
